-	1939-01	1939-02	1939-03	1939-04	1939-05	1939-06	1939-07	1939-08	1939-09	1939-10	1939-11	1939-12	1940-01	1940-02	1940-03	1940-04	1940-05	1940-06	1940-07	1940-08	1940-09	1940-10	1940-11	1940-12	1941-01	1941-02	1941-03	1941-04	1941-05	1941-06	1941-07	1941-08	1941-09	1941-10	1941-11	1941-12	1942-01	1942-02	1942-03	1942-04	1942-05	1942-06	1942-07	1942-08	1942-09	1942-10	1942-11	1942-12	1943-01	1943-02	1943-03	1943-04	1943-05	1943-06	1943-07	1943-08	1943-09	1943-10	1943-11	1943-12	1944-01	1944-02	1944-03	1944-04	1944-05	1944-06	1944-07	1944-08	1944-09	1944-10	1944-11	1944-12	1945-01	1945-02	1945-03	1945-04	1945-05	1945-06	1945-07	1945-08	1945-09	1945-10	1945-11	1945-12
АзССР	103	52	27	21	88	25	19	68	541	289	179	112	191	87	64	28	82	84	30	75	317	259	53	80	498	210	210	268	382	4613	1874	2518	3975	946	613	1752	5460	2103	3703	1663	801	880	664	2566	2665	1012	4120	2314	6509	8509	1242	931	670	503	329	264	327	198	384	192	168	108	159	248	80	79	60	128	131	54	76	111	126	124	82	122	252	97	8	27	16	9	1	5
АрССР	44	14	12	7	45	4	5	23	160	107	64	52	62	43	11	11	23	14	10	29	114	135	20	30	111	94	94	84	222	3180	804	1032	1431	382	269	820	779	1442	1084	423	282	275	214	991	2747	367	1215	777	1695	468	314	193	204	93	54	103	160	225	85	47	23	26	61	87	12	21	32	54	57	12	24	64	55	42	24	127	165	46	3	12	17	1	7	3
БССР	37	46	60	23	192	51	47	93	817	700	345	215	118	156	78	80	254	173	107	126	1176	1657	195	156	153	109	241	381	846	6344	5889	1540	962	1011	620	421	559	448	549	279	375	484	400	596	479	314	185	287	479	373	351	262	244	318	250	409	1273	4720	2657	4922	1027	891	965	969	895	4636	25967	8952	4203	2635	4992	11366	1502	5317	4972	2269	1394	1082	93	79	319	31	11	25
ГрузССР	66	53	18	10	97	19	22	55	437	274	212	105	152	94	40	42	64	55	20	56	248	310	62	58	278	121	162	257	378	5301	1876	2271	2763	888	468	1061	2396	1508	2665	806	606	680	511	2212	3873	818	952	2399	3787	719	689	247	276	240	183	203	272	246	504	135	101	100	236	180	75	53	69	106	121	72	69	72	93	90	89	151	232	74	13	20	45	5	29	5
КазССР	61	104	199	46	161	42	22	120	1051	732	446	189	219	305	118	88	299	166	88	131	754	891	164	186	618	323	473	538	836	4940	7111	6234	3222	2389	1552	3928	10743	6951	10520	5774	15074	16739	7152	13107	10906	7774	3164	4174	8917	6246	5673	3206	3829	3288	1525	1305	1526	1142	3672	2284	3487	1446	2053	1146	1157	841	973	1161	1460	844	2632	2917	825	1744	581	1119	1026	363	79	80	101	27	7	15
КирССР	23	16	8	18	28	17	5	42	221	161	60	59	72	46	11	14	56	81	18	18	143	162	31	26	94	82	109	121	139	691	765	1270	856	547	691	917	1428	1246	2514	679	1160	1157	1893	3517	4180	4616	1421	2904	2566	946	1137	1473	1033	813	629	239	346	169	345	269	530	395	207	271	283	90	188	216	95	33	1264	757	170	140	131	266	150	61	6	6	10	6	1	3
Латвийская ССР	0	5	0	0	12	0	0	0	3	7	1	0	0	10	7	0	0	4	1	1	11	6	2	2	4	2	2	8	2	226	122	136	40	46	12	20	24	18	20	5	9	7	9	17	13	6	4	9	16	7	11	8	5	7	6	5	5	3	9	5	35	26	23	27	15	65	456	3787	837	995	393	390	259	153	107	101	97	306	11	9	1	1	1	1
Литовская ССР	0	1	3	1	8	1	0	1	12	9	4	3	8	4	25	2	4	3	0	3	11	11	3	1	6	5	5	10	12	138	118	114	76	90	53	53	87	59	57	31	34	39	13	57	39	24	7	16	47	37	31	24	10	9	7	12	31	25	26	9	46	49	89	79	23	77	511	4429	3499	1573	1302	3035	5968	6663	5370	4370	1229	105	89	191	198	182	91	137
РСФСР	949	1583	2011	1419	3795	1215	724	2497	20265	12748	6575	2886	2833	3761	1789	1592	4960	7820	2551	3311	17072	19290	3887	2935	8477	6905	11343	19034	24620	209884	186280	180037	131250	125721	75932	73226	115827	107263	125432	74199	94159	78410	58486	165740	70321	58602	44910	92374	159545	70197	72437	62724	46328	60386	28531	42643	43925	44535	132945	43239	33391	37030	76144	40216	32428	31053	27145	25429	26282	24790	71189	59716	24240	23955	26682	28865	28421	9528	4629	7545	7463	3964	3950	3784
ТаджССР	19	29	19	2	21	10	10	18	183	101	85	23	63	98	30	10	32	33	6	15	110	115	22	28	77	50	76	83	117	628	491	885	594	358	301	1281	636	571	632	262	444	496	586	962	2114	1399	450	655	1315	845	7509	4061	3146	3510	483	284	549	260	231	182	96	60	146	128	50	73	80	73	53	34	906	563	522	121	43	65	119	46	2	6	7	3	3	5
ТуркССР	8	13	5	5	11	3	3	10	128	134	71	15	78	66	13	11	24	17	10	21	123	124	22	21	59	51	49	78	141	425	384	894	443	302	233	734	649	1204	2466	218	452	365	462	591	1070	625	401	551	1192	796	7016	1817	2926	341	166	307	668	341	231	139	50	36	81	109	81	49	48	40	30	18	699	254	163	450	48	72	107	30	4	7	2	2	2	2
УзССР	86	67	54	39	95	48	25	73	864	487	356	150	330	210	60	62	150	185	61	85	451	435	69	84	371	231	353	425	602	2677	2261	4226	2125	1606	1095	3971	3927	2712	4863	1304	5197	15564	5365	5290	8408	5595	3713	2966	3929	3290	27632	18363	13838	2194	1247	1228	2173	1405	873	1329	843	980	1463	632	398	398	354	278	378	156	780	674	390	752	438	550	605	343	85	66	49	20	6	11
УССР	220	237	482	267	1298	256	176	605	4026	3260	1753	1554	802	700	426	428	1371	1000	432	789	4093	4069	1409	601	1069	697	1672	2482	5107	29715	23605	28438	13341	12310	3882	2607	3150	3214	3574	1656	2140	2391	1527	2666	2132	1442	938	1297	3210	7895	5296	3089	2166	2001	2321	8942	48498	38030	16180	14369	28824	18914	88263	81442	41840	11100	7377	8984	13219	9196	15600	8907	3994	3126	3904	4060	7001	2404	398	431	373	353	129	155
Эстонская ССР	0	0	9	5	0	1	3	0	4	14	0	0	1	2	2	11	3	2	2	1	12	5	2	2	6	10	8	7	20	202	803	191	21	21	22	9	19	25	11	6	4	10	22	8	8	8	10	23	17	2	5	5	5	4	4	4	6	2	6	1	40	22	12	18	5	6	11	1046	576	985	1819	585	143	6	33	94	86	20	7	7	9	2	0	0
