draft_region	draft_year	draft_month	birth_year	count_exact	count_addition_birthplace_derived	count_addition_nobirthplace_derived
АзССР				6741	1099	67580
АзССР			1900	1315	188	3153
АзССР			1901	777	135	2737
АзССР			1902	1046	190	3532
АзССР			1903	786	189	3731
АзССР			1904	719	157	3982
АзССР			1905	1011	203	3856
АзССР			1906	926	175	4181
АзССР			1907	1210	198	4470
АзССР			1908	1158	218	4360
АзССР			1909	1070	186	4448
АзССР			1910	1517	315	4849
АзССР			1911	1225	231	4538
АзССР			1912	1490	270	5073
АзССР			1913	1217	256	4654
АзССР			1914	1124	282	4864
АзССР			1915	889	233	3957
АзССР			1916	911	240	3299
АзССР			1917	703	193	2805
АзССР			1918	901	280	4127
АзССР	1918		1901	1	0	0
АзССР			1919	881	237	3536
АзССР	1919		1902	1	0	0
АзССР			1920	1161	365	3884
АзССР			1921	1388	350	4544
АзССР			1922	1717	463	5929
АзССР			1923	1583	427	7649
АзССР			1924	2012	575	8761
АзССР	1924	02		1	0	0
АзССР			1925	1969	625	9126
АзССР	1925	10	1905	1	0	0
АзССР			1926	363	149	6978
АзССР			1927	91	52	2423
АзССР	1927		1904	1	0	1
АзССР	1927		1905	2	1	7
АзССР			1928	13	3	65
АзССР	1928	10	1906	2	0	0
АзССР			1929	2	2	24
АзССР	1929	01	1910	1	0	0
АзССР	1929		1905	1	0	0
АзССР	1929		1906	1	0	1
АзССР	1929		1907	2	0	10
АзССР	1929		1910	2	0	0
АзССР	1929		1911	1	0	0
АзССР	1929		1908	1	0	1
АзССР	1930	10	1908	1	1	0
АзССР	1930	11	1908	1	0	0
АзССР	1930		1906	1	0	0
АзССР	1930		1907	2	0	1
АзССР	1930		1908	5	0	9
АзССР	1930		1920	1	0	0
АзССР	1931		1905	1	0	0
АзССР	1931		1907	2	0	0
АзССР	1931		1909	1	1	8
АзССР	1931		1915	2	0	0
АзССР	1931		1911	1	0	0
АзССР	1932			1	0	0
АзССР	1932	07	1912	1	0	0
АзССР	1932	09	1915	1	0	0
АзССР	1932	10	1910	1	0	0
АзССР	1932		1910	7	0	9
АзССР	1933	09	1911	1	0	0
АзССР	1933		1906	2	0	0
АзССР	1933		1911	6	1	10
АзССР	1933		1912	1	0	1
АзССР	1933		1910	1	1	1
АзССР	1933		1913	1	0	0
АзССР	1934	02	1916	1	0	0
АзССР	1934	08	1913	1	0	0
АзССР	1934	09	1910	1	0	0
АзССР	1934	11	1912	1	0	0
АзССР	1934		1905	1	0	0
АзССР	1934		1908	3	0	0
АзССР	1934		1909	1	0	0
АзССР	1934		1910	5	0	1
АзССР	1934		1911	2	0	1
АзССР	1934		1912	4	0	10
АзССР	1934		1913	1	0	1
АзССР	1934		1917	1	0	0
АзССР	1934			1	0	0
АзССР	1934		1914	3	0	0
АзССР	1934		1915	1	0	0
АзССР	1935	02	1909	1	0	0
АзССР	1935	05	1908	1	0	0
АзССР	1935	09	1911	1	0	0
АзССР	1935	09	1912	1	0	0
АзССР	1935	09	1916	1	0	0
АзССР	1935	09	1913	1	0	0
АзССР	1935	10	1913	4	1	0
АзССР	1935	10	1915	1	0	0
АзССР	1935	11	1915	1	0	0
АзССР	1935	11	1912	1	0	0
АзССР	1935	11	1909	1	0	0
АзССР	1935		1907	1	0	0
АзССР	1935		1908	1	0	0
АзССР	1935		1909	2	0	0
АзССР	1935		1910	4	1	0
АзССР	1935		1911	2	0	0
АзССР	1935		1912	3	0	2
АзССР	1935		1913	17	0	11
АзССР	1935		1915	4	0	1
АзССР	1935		1917	2	0	0
АзССР	1935		1914	2	2	2
АзССР	1936			1	0	0
АзССР	1936	01	1910	1	0	0
АзССР	1936	01	1915	1	0	0
АзССР	1936	01	1917	2	0	0
АзССР	1936	03	1918	1	0	0
АзССР	1936	05	1914	4	0	0
АзССР	1936	05	1917	2	0	0
АзССР	1936	05	1916	1	0	0
АзССР	1936	06	1907	1	0	0
АзССР	1936	06	1914	1	0	0
АзССР	1936	07	1914	1	0	0
АзССР	1936	09	1914	2	0	0
АзССР	1936	09	1915	4	1	0
АзССР	1936	10	1914	3	0	1
АзССР	1936	10	1915	3	0	0
АзССР	1936	10	1913	1	0	0
АзССР	1936	10	1916	1	0	0
АзССР	1936	11	1916	1	0	0
АзССР	1936	11	1914	1	0	0
АзССР	1936	12	1916	1	0	0
АзССР	1936		1906	1	0	0
АзССР	1936		1907	1	0	0
АзССР	1936		1910	4	0	0
АзССР	1936		1911	1	0	0
АзССР	1936		1912	2	0	1
АзССР	1936		1913	3	0	2
АзССР	1936		1914	11	0	14
АзССР	1936		1915	7	0	6
АзССР	1936		1916	4	0	2
АзССР	1936		1917	2	1	1
АзССР	1937			1	0	1
АзССР	1937	01	1918	2	0	0
АзССР	1937	01	1922	1	0	0
АзССР	1937	01	1916	1	0	0
АзССР	1937	02	1915	1	0	0
АзССР	1937	02	1916	1	0	0
АзССР	1937	04	1920	1	0	0
АзССР	1937	05	1915	6	0	1
АзССР	1937	05	1916	2	0	0
АзССР	1937	05	1918	3	0	0
АзССР	1937	06	1919	1	1	0
АзССР	1937	06	1916	1	0	0
АзССР	1937	08	1916	3	0	0
АзССР	1937	08	1914	1	0	0
АзССР	1937	08	1915	3	0	0
АзССР	1937	09	1905	1	0	0
АзССР	1937	09	1913	3	0	0
АзССР	1937	09	1914	2	1	0
АзССР	1937	09	1916	7	1	1
АзССР	1937	09	1915	5	1	1
АзССР	1937	09	1917	2	0	0
АзССР	1937	10	1910	1	0	0
АзССР	1937	10	1911	1	0	0
АзССР	1937	10	1915	3	0	1
АзССР	1937	10	1916	11	0	2
АзССР	1937	10	1917	4	0	0
АзССР	1937	10	1914	1	0	0
АзССР	1937	11	1915	1	1	0
АзССР	1937	12	1913	3	0	0
АзССР	1937		1905	2	0	0
АзССР	1937		1910	5	0	0
АзССР	1937		1911	3	0	0
АзССР	1937		1912	8	0	1
АзССР	1937		1913	4	0	1
АзССР	1937		1914	13	0	3
АзССР	1937		1915	32	1	14
АзССР	1937		1916	33	2	18
АзССР	1937		1917	11	0	4
АзССР	1937		1918	15	0	3
АзССР	1937		1920	3	0	0
АзССР	1937		1922	1	0	0
АзССР	1937		1908	1	0	0
АзССР	1937		1919	2	1	1
АзССР	1938	01	1900	1	0	0
АзССР	1938	01	1913	4	0	0
АзССР	1938	01	1915	2	0	0
АзССР	1938	01	1917	2	0	0
АзССР	1938	01	1918	7	0	0
АзССР	1938	01	1920	1	0	0
АзССР	1938	01	1909	1	0	0
АзССР	1938	01	1912	1	0	0
АзССР	1938	01	1916	1	0	0
АзССР	1938	01	1919	1	0	0
АзССР	1938	02	1913	1	0	0
АзССР	1938	02	1917	2	0	0
АзССР	1938	02	1919	2	0	0
АзССР	1938	02	1915	1	0	0
АзССР	1938	02	1918	3	0	0
АзССР	1938	03	1918	3	0	0
АзССР	1938	04	1913	1	0	0
АзССР	1938	04	1917	2	0	0
АзССР	1938	04	1918	4	0	0
АзССР	1938	04	1919	1	0	0
АзССР	1938	04	1916	1	0	0
АзССР	1938	05	1912	2	0	0
АзССР	1938	05	1914	2	0	0
АзССР	1938	05	1915	2	0	0
АзССР	1938	05	1916	1	0	0
АзССР	1938	05	1917	7	1	1
АзССР	1938	05	1918	13	0	1
АзССР	1938	05	1919	2	0	0
АзССР	1938	05	1920	2	0	0
АзССР	1938	05	1910	1	0	0
АзССР	1938	06	1917	2	0	0
АзССР	1938	06	1918	3	0	0
АзССР	1938	07	1914	1	0	0
АзССР	1938	08	1915	2	0	0
АзССР	1938	08	1917	4	0	1
АзССР	1938	08	1918	8	1	1
АзССР	1938	08	1919	2	0	0
АзССР	1938	09	1910	3	0	0
АзССР	1938	09	1911	1	0	0
АзССР	1938	09	1912	3	0	0
АзССР	1938	09	1914	4	0	0
АзССР	1938	09	1915	6	0	0
АзССР	1938	09	1916	11	0	1
АзССР	1938	09	1917	23	0	3
АзССР	1938	09	1918	43	7	4
АзССР	1938	09	1919	10	0	1
АзССР	1938	09	1920	3	0	0
АзССР	1938	09	1923	1	0	0
АзССР	1938	09	1913	2	0	0
АзССР	1938	10	1913	1	0	0
АзССР	1938	10	1915	3	0	0
АзССР	1938	10	1916	5	0	0
АзССР	1938	10	1917	30	2	3
АзССР	1938	10	1918	37	0	3
АзССР	1938	10	1919	4	0	0
АзССР	1938	10	1920	3	0	0
АзССР	1938	11	1916	1	0	0
АзССР	1938	11	1917	6	0	1
АзССР	1938	11	1918	3	1	1
АзССР	1938	11	1914	1	0	0
АзССР	1938	11	1919	1	0	0
АзССР	1938	11	1920	1	0	0
АзССР	1938	11	1911	1	0	0
АзССР	1938	12	1914	3	0	0
АзССР	1938	12	1916	3	0	0
АзССР	1938	12	1918	5	0	0
АзССР	1938	12	1919	1	0	0
АзССР	1938		1900	2	0	0
АзССР	1938		1907	2	0	0
АзССР	1938		1908	2	0	0
АзССР	1938		1910	7	0	1
АзССР	1938		1911	8	0	1
АзССР	1938		1912	14	1	1
АзССР	1938		1913	8	1	1
АзССР	1938		1914	19	0	2
АзССР	1938		1915	29	1	4
АзССР	1938		1916	32	1	7
АзССР	1938		1917	109	12	30
АзССР	1938		1918	119	6	37
АзССР	1938		1919	28	3	5
АзССР	1938		1920	7	0	2
АзССР	1938		1921	6	1	1
АзССР	1938		1924	3	0	0
АзССР	1938		1901	1	0	0
АзССР	1938			1	0	2
АзССР	1939			4	0	14
АзССР	1939	01	1912	5	0	0
АзССР	1939	01	1913	4	0	0
АзССР	1939	01	1914	4	0	0
АзССР	1939	01	1915	15	0	0
АзССР	1939	01	1916	11	1	0
АзССР	1939	01	1917	6	0	0
АзССР	1939	01	1918	14	0	1
АзССР	1939	01	1919	26	1	1
АзССР	1939	01	1920	10	2	0
АзССР	1939	01	1921	2	0	0
АзССР	1939	02	1911	1	0	0
АзССР	1939	02	1912	4	0	0
АзССР	1939	02	1913	2	0	0
АзССР	1939	02	1914	4	0	0
АзССР	1939	02	1915	2	0	0
АзССР	1939	02	1916	4	1	0
АзССР	1939	02	1917	3	0	1
АзССР	1939	02	1918	9	0	1
АзССР	1939	02	1919	10	0	1
АзССР	1939	02	1921	1	0	0
АзССР	1939	02	1910	1	0	0
