Ардатовский р-н	РСФСР
Барановский р-н	РСФСР
Беломорский р-н	РСФСР
Городищанский р-н	БССР
Звенигородский р-н	РСФСР
Калининский р-н	РСФСР
Калужский р-н	РСФСР
Клетский р-н	РСФСР
Климовский р-н	РСФСР
Коменд. г. Казани	РСФСР
Куйбышевский р-н	РСФСР
Никифоровский р-н	РСФСР
Николаевский р-н	РСФСР
Пушкиногарский р-н	РСФСР
Рыбинский р-н	РСФСР
Свердловский р-н	РСФСР
Севский р-н	РСФСР
Смоленский р-н	РСФСР
Сорокинский р-н	РСФСР
Сорокский р-н	Молдавская ССР
Стародубский р-н	РСФСР
Сужданский р-н	РСФСР
Ульяновский р-н	РСФСР
Чинабадский р-н	УзССР
Ямпольский р-н	УССР
г. Айзенштадт	Зарубежье
г. Анджеро-Судженск	РСФСР
г. Архангельск	РСФСР
г. Астрахань	РСФСР
г. Ауссиг	Зарубежье
г. Ачинск	РСФСР
г. Баку	АзССР
г. Белово	РСФСР
г. Беломорск	РСФСР
г. Березники	РСФСР
г. Берлин	Зарубежье
г. Биздорф	Зарубежье
г. Бисдорф	Зарубежье
г. Боровичи	РСФСР
г. Брянск	РСФСР
г. Вальц	Зарубежье
г. Вена	Зарубежье
г. Вильно	Литовская ССР
г. Витовицы	Зарубежье
г. Владивосток	РСФСР
г. Владимир	РСФСР
г. Вологда	РСФСР
г. Ворошилов	РСФСР
г. Ворошиловск	РСФСР
г. Гольберг	Зарубежье
г. Горький	РСФСР
г. Грозный	РСФСР
г. Гумбинен	РСФСР
г. Гумбиннен	РСФСР
г. Гутштадт	Зарубежье
г. Двинск	Латвийская ССР
г. Ессентуки	РСФСР
г. Заган	Зарубежье
г. Иваново	РСФСР
г. Казань	РСФСР
г. Калинин	РСФСР
г. Калуга	РСФСР
г. Каменск	РСФСР
г. Кант	КирССР
г. Каценау	КазССР
г. Кемерово	РСФСР
г. Киров	РСФСР
г. Кировск	РСФСР
г. Киселевск	РСФСР
г. Кисловодск	РСФСР
г. Ковров	РСФСР
г. Комсомольск	РСФСР
г. Констанца	Зарубежье
г. Кострома	РСФСР
г. Кошице	Зарубежье
г. Красноармейск	РСФСР
г. Куйбышев	РСФСР
г. Курган	РСФСР
г. Ландзберг	Зарубежье
г. Ландсберг	Зарубежье
г. Ланзберг	Зарубежье
г. Лансберг	Зарубежье
г. Лауенбург	Зарубежье
г. Лауренбург	Зарубежье
г. Ленинград	РСФСР
г. Лениногорск	РСФСР
г. Ленинск-Кузнецкий	РСФСР
г. Леобен	Зарубежье
г. Линсберг	Зарубежье
г. Москва	РСФСР
г. Москвы	РСФСР
г. Муром	РСФСР
г. Н. Вена	Зарубежье
г. Н.-Вена	Зарубежье
г. Нов. Вена	Зарубежье
г. Новгород	РСФСР
г. Новосибирск	РСФСР
г. Нойкурен	РСФСР
г. Нойштадт	Зарубежье
г. Одесса	УССР
г. Оломоуц	Зарубежье
г. Омск	РСФСР
г. Орджоникидзе	РСФСР
г. Орехово-Зуево	РСФСР
г. Осинники	РСФСР
г. Пенза	РСФСР
г. Петропавловск	РСФСР
г. Пирка	Зарубежье
г. Пирна	Зарубежье
г. Плате	Зарубежье
г. Платы	Зарубежье
г. Поличка	Зарубежье
г. Польчка	Зарубежье
г. Прокопьевск	РСФСР
г. Псков	РСФСР
г. Пятигорск	РСФСР
г. Розенберг	Зарубежье
г. Ростов	РСФСР
г. Румельсбург	Зарубежье
г. Саратов	РСФСР
г. Свободный	РСФСР
г. Слуцк	БССР
г. Ставрополь	РСФСР
г. Сталино	УССР
г. Сталиногорск	РСФСР
г. Сталинск	РСФСР
г. Страусберг	Зарубежье
г. Тайга	РСФСР
г. Ташкент	УзССР
г. Тбилиси	ГрузССР
г. Томск	РСФСР
г. Тула	РСФСР
г. Тюмень	РСФСР
г. Ульяновск	РСФСР
г. Фрунзе	КирССР
г. Фюрстенвальде	Зарубежье
г. Хемниц	Зарубежье
г. Цветль	Зарубежье
г. Цвитау	Зарубежье
г. Цельдемельк	Зарубежье
г. Циттау	Зарубежье
г. Челябинск	РСФСР
г. Ченстахов	Зарубежье
г. Ченстохов	Зарубежье
г. Ченстохова	Зарубежье
г. Чернигов	УССР
г. Чкалов	РСФСР
г. Шарья	РСФСР
г. Шахты	РСФСР
г. Шпремберг	Зарубежье
г. Штольп	Зарубежье
г. Штраизберг	Зарубежье
г. Штраузберг	Зарубежье
г. Штраусберг	Зарубежье
г. Штремберг	Зарубежье
г. Эйзенштад	Зарубежье
г. Энгельс	РСФСР
г. Эркнер	Зарубежье
г. Юрга	РСФСР
г. Янош-Хазе	Зарубежье
г. Янош-Хоза	Зарубежье
коменд. г. Пензы	РСФСР
комендатура г. Мичуринск	РСФСР
комендатура г. Штольп	Зарубежье
с. Вольное	РСФСР
с. Диковка	УССР
с. Спаська	УССР
г. Астрахань	РСФСР
г. Астрахань	РСФСР
г. Грозный	РСФСР
г. Лауренбург	Зарубежье
г. Москва	РСФСР
