Актюбинская обл.	КазССР
Алтайский край	РСФСР
Амурская обл.	РСФСР
Андижанская обл.	УзССР
Архангельская обл.	РСФСР
Астраханская обл.	РСФСР
Бендеровская обл.	Молдавская ССР
Бендерская обл.	Молдавская ССР
Бобруйская обл.	БССР
Брянская обл.	РСФСР
Великолукская обл.	РСФСР
Виленская обл.	Литовская ССР
Владимирская обл.	РСФСР
Волгоградская обл.	РСФСР
Волковисский уезд	БССР
Вологодская обл.	РСФСР
Волологодская обл.	РСФСР
Воронежская обл.	РСФСР
Ворошиловская обл.	УССР
Восточная Пруссия	Зарубежье
Восточно-Казахстанская обл.	КазССР
Гомельская обл.	БССР
Горьковская обл.	РСФСР
Гродненская обл.	БССР
Грозенская обл.	РСФСР
Грозненская обл.	РСФСР
Дальневосточный край	РСФСР
Двинская обл.	Латвийская ССР
Двинский уезд	Латвийская ССР
Житомирская обл.	УССР
Запорожская обл.	УССР
Ивановская обл.	РСФСР
Измаильская обл.	УССР
Измаильская обл.	УССР
Икрутская обл.	РСФСР
Иркутская обл.	РСФСР
Казанская обл.	РСФСР
Калинин. обл.	РСФСР
Калининградская обл.	РСФСР
Калининская обл.	РСФСР
Калужская обл.	РСФСР
Камчатская обл.	РСФСР
Карагандинская обл.	КазССР
Караченская обл.	РСФСР
Кашкадарьинская обл.	УзССР
Кемеровская обл.	РСФСР
Кемеровской обл.	РСФСР
Кемерская обл.	РСФСР
Кешеневская обл.	Молдавская ССР
Киров. обл.	РСФСР
Кировоградская обл.	УССР
Кировская обл.	РСФСР
Кишеневская обл.	Молдавская ССР
Кишиневская обл.	Молдавская ССР
Костромская обл.	РСФСР
Краков. обл.	Зарубежье
Краковская обл.	Зарубежье
Красн. край	РСФСР
Краснодарский край	РСФСР
Красноярский край	РСФСР
Крымская обл.	РСФСР
Куйбышевская обл.	РСФСР
Куйбышевская область	РСФСР
Курганская обл.	РСФСР
Курская обл.	РСФСР
Курская область	РСФСР
Лен. обл.	РСФСР
Ленинабадская обл.	ТаджССР
Ленинградская обл.	РСФСР
Луцкая обл.	УССР
Люблинская губ.	Зарубежье
Люблинская губ.	Зарубежье
Люблинская обл.	Зарубежье
Люблинское воеводство	Зарубежье
Молодечненская обл.	БССР
Молотовская обл.	РСФСР
Москвовская обл.	РСФСР
Московская обл.	РСФСР
Московская обл.	РСФСР
Московская обл.	РСФСР
Мурманская обл.	РСФСР
Наман. обл.	УзССР
Наманганская обл.	УзССР
Нижне-Амурская обл.	РСФСР
Николаевская обл.	УССР
Новгородская обл.	РСФСР
Ново-Уральская обл.	РСФСР
Новосибирская обл.	РСФСР
Новосибирской обл.	РСФСР
Одесская обл.	УССР
Омская обл.	РСФСР
Орджоникидзевский край	РСФСР
Оренбургская обл.	РСФСР
Оренбургской обл.	РСФСР
Оренбурская обл.	РСФСР
Орловская обл.	РСФСР
Пензенская обл.	РСФСР
Пермская обл.	РСФСР
Петропавловская обл.	РСФСР
Печерский уезд	РСФСР
Полоцкая обл.	БССР
Приморский край	РСФСР
Псковская обл.	РСФСР
Ровенская обл.	УССР
Ростовская обл.	РСФСР
Рязанская обл.	РСФСР
Саратовская обл.	РСФСР
Сахалинская обл.	РСФСР
Свердловская обл.	РСФСР
Смоленская обл.	РСФСР
Ставропольский край	РСФСР
Ставропольский край	РСФСР
Стал. обл.	РСФСР
Сталинградская обл.	РСФСР
Сталинская обл.	УССР
Станиславская обл.	УССР
Таласская обл.	КирССР
Тамбовская обл.	РСФСР
Таш. обл.	УзССР
Томская обл.	РСФСР
Тульская обл	РСФСР
Тульская обл.	РСФСР
Тюменская обл.	РСФСР
Ульяновская обл.	РСФСР
Уральская обл.	РСФСР
Уссурийская обл.	РСФСР
Фрунзенская обл.	КирССР
Хабаровская обл.	РСФСР
Хабаровский край	РСФСР
Херсонская обл.	УССР
Челябинская обл.	РСФСР
Чимкентская обл.	КазССР
Читинская обл.	РСФСР
Чкаловская обл.	РСФСР
Ярославская обл.	РСФСР
