region	population	year	month	count	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
УзССР	6271269	1939	1	86	0.0	0.0	0.0	0.0118	0.0471	0.1412	0.4941	0.6471	0.8	0.8824	0.9176	0.9412	0.9529	0.9529	0.9529	0.9882	0.9882	0.9882	0.9882	0.9882	0.9882	0.9882	0.9882	0.9882	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	2	67	0.0	0.0	0.0	0.0167	0.05	0.0833	0.2833	0.6333	0.75	0.8833	0.9333	0.95	0.9833	0.9833	0.9833	0.9833	0.9833	0.9833	0.9833	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	3	54	0.0	0.0	0.0	0.0556	0.0741	0.1111	0.3519	0.6481	0.7778	0.8704	0.9259	0.963	0.963	0.963	0.963	0.9815	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	4	39	0.0	0.0	0.0	0.0	0.1026	0.1538	0.3846	0.6154	0.7436	0.8718	0.8974	0.9231	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	5	95	0.0	0.0	0.0	0.0106	0.0426	0.1596	0.4362	0.6915	0.7979	0.8298	0.8617	0.8723	0.883	0.9149	0.9468	0.9468	0.9681	0.9787	0.9894	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	6	48	0.0	0.0	0.0	0.0217	0.0217	0.1522	0.413	0.5217	0.6522	0.8478	0.8913	0.9348	0.9565	0.9565	0.9565	0.9565	0.9565	0.9783	0.9783	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	7	25	0.0	0.0	0.0	0.0	0.0	0.0417	0.4167	0.625	0.75	0.8333	0.8333	0.8333	0.9167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	8	73	0.0	0.0139	0.0278	0.0417	0.0694	0.1944	0.5139	0.6944	0.7917	0.9167	0.9444	0.9444	0.9861	0.9861	0.9861	0.9861	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	9	864	0.0012	0.0012	0.0012	0.0116	0.0407	0.1151	0.4395	0.6814	0.7884	0.9	0.9453	0.9605	0.9663	0.9733	0.9791	0.986	0.9919	0.9919	0.9942	0.9965	0.9965	0.9977	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УзССР	6271269	1939	10	487	0.0	0.0	0.0	0.0	0.0538	0.147	0.501	0.6874	0.7971	0.911	0.9524	0.9648	0.9752	0.9834	0.9855	0.9876	0.9896	0.9979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
