-	1939-01	1939-02	1939-03	1939-04	1939-05	1939-06	1939-07	1939-08	1939-09	1939-10	1939-11	1939-12	1940-01	1940-02	1940-03	1940-04	1940-05	1940-06	1940-07	1940-08	1940-09	1940-10	1940-11	1940-12	1941-01	1941-02	1941-03	1941-04	1941-05	1941-06	1941-07	1941-08	1941-09	1941-10	1941-11	1941-12	1942-01	1942-02	1942-03	1942-04	1942-05	1942-06	1942-07	1942-08	1942-09	1942-10	1942-11	1942-12	1943-01	1943-02	1943-03	1943-04	1943-05	1943-06	1943-07	1943-08	1943-09	1943-10	1943-11	1943-12	1944-01	1944-02	1944-03	1944-04	1944-05	1944-06	1944-07	1944-08	1944-09	1944-10	1944-11	1944-12	1945-01	1945-02	1945-03	1945-04	1945-05	1945-06	1945-07	1945-08	1945-09	1945-10	1945-11	1945-12
АзССР	0.012104830179809614	0.006111176401457281	0.003173110823833588	0.002467975085203902	0.010341990833235398	0.0029380655776236925	0.0022329298389940065	0.007991538371136444	0.06357973909977671	0.03396403807732989	0.02103654953578564	0.013162533787754142	0.02244682101304501	0.01022446821013045	0.007521447878716653	0.0032906334469385355	0.009636855094605712	0.009871900340815608	0.003525678693148431	0.008814196732871078	0.03725467152426842	0.030438359384181456	0.006228699024562228	0.009401809848395816	0.05852626630626396	0.024679750852039016	0.024679750852039016	0.031496062992125984	0.04489364202609002	0.5421318603831238	0.22023739569867198	0.2959219649782583	0.4671524268421671	0.11117640145728053	0.07204136796333294	0.20589963567986838	0.6416735221530144	0.24715007638970501	0.43518627335762133	0.19544012222352802	0.09413562110706311	0.10341990833235398	0.07803502174168528	0.3015630508872958	0.3131977905746856	0.11893289458220707	0.4841932071923845	0.271947349864849	0.7649547537901046	1.0	0.14596309789634504	0.10941356211070631	0.07874015748031496	0.059113879421788695	0.03866494300152779	0.031025972499706192	0.038429897755317896	0.023269479374779644	0.04512868727229992	0.02256434363614996	0.019743800681631216	0.012692443295334352	0.018686097073686684	0.02914561053002703	0.009401809848395816	0.009284287225290868	0.007051357386296862	0.015042895757433306	0.01539546362674815	0.006346221647667176	0.008931719355976026	0.013045011164649196	0.01480785051122341	0.014572805265013516	0.009636855094605712	0.01433776001880362	0.02961570102244682	0.011399694441179928	0.0009401809848395816	0.003173110823833588	0.0018803619696791632	0.0010577036079445293	0.0001175226231049477	0.0005876131155247385
АрССР	0.013836477987421384	0.00440251572327044	0.0037735849056603774	0.00220125786163522	0.014150943396226415	0.0012578616352201257	0.0015723270440251573	0.007232704402515723	0.050314465408805034	0.033647798742138364	0.02012578616352201	0.016352201257861635	0.01949685534591195	0.013522012578616353	0.003459119496855346	0.003459119496855346	0.007232704402515723	0.00440251572327044	0.0031446540880503146	0.009119496855345912	0.035849056603773584	0.04245283018867924	0.006289308176100629	0.009433962264150943	0.03490566037735849	0.029559748427672956	0.029559748427672956	0.026415094339622643	0.06981132075471698	1.0	0.2528301886792453	0.32452830188679244	0.45	0.12012578616352201	0.08459119496855345	0.2578616352201258	0.2449685534591195	0.45345911949685536	0.34088050314465407	0.1330188679245283	0.08867924528301886	0.08647798742138364	0.06729559748427673	0.31163522012578615	0.8638364779874214	0.11540880503144654	0.38207547169811323	0.24433962264150944	0.5330188679245284	0.1471698113207547	0.09874213836477988	0.06069182389937107	0.06415094339622641	0.029245283018867925	0.016981132075471698	0.03238993710691824	0.050314465408805034	0.07075471698113207	0.026729559748427674	0.014779874213836478	0.007232704402515723	0.008176100628930818	0.019182389937106917	0.027358490566037737	0.0037735849056603774	0.006603773584905661	0.010062893081761006	0.016981132075471698	0.017924528301886792	0.0037735849056603774	0.007547169811320755	0.02012578616352201	0.01729559748427673	0.013207547169811321	0.007547169811320755	0.03993710691823899	0.05188679245283019	0.014465408805031447	0.0009433962264150943	0.0037735849056603774	0.005345911949685534	0.00031446540880503143	0.00220125786163522	0.0009433962264150943
БССР	0.0014248854315092232	0.001771479185119575	0.002310625024069011	0.0008857395925597874	0.0073940000770208346	0.001964031270458659	0.0018099896021873917	0.0035814687873069666	0.03146301074440636	0.02695729194747179	0.013286093888396812	0.008279739669580621	0.004544229214002387	0.006007625062579428	0.003003812531289714	0.0030808333654253474	0.009781645935225479	0.006662302152732314	0.0041206146262564025	0.004852312550544922	0.04528825047175261	0.06381176108137251	0.007509531328224284	0.006007625062579428	0.005892093811375977	0.004197635460392036	0.00928101051334386	0.014672468902838218	0.03257981283937305	0.24431008587823005	0.2267878461123734	0.05930604228443794	0.037047021219239806	0.03893403165556283	0.023876458582046442	0.016212885585550892	0.021527323140909615	0.017252666846381947	0.021142218970231448	0.0107444063619209	0.014441406400431317	0.018639041860823352	0.015404166827126737	0.02295220857241884	0.018446489775484267	0.01209227095929449	0.007124427157546116	0.011052489698463435	0.018446489775484267	0.014364385566295683	0.013517156390803713	0.010089729271768013	0.00939654176454731	0.012246312627565757	0.009627604266954212	0.01575076058073709	0.049023760927330844	0.1817691685600955	0.10232217814918936	0.18954827280779452	0.0395501983286479	0.034312781607424805	0.037162552470443255	0.03731659413871452	0.03446682327569608	0.17853429352639888	1.0	0.34474525359109637	0.1618592829360342	0.10147494897369738	0.1922440020025417	0.43770940039280626	0.0578426464358609	0.20475988754958216	0.19147379366118536	0.08738013632687643	0.05368352139253668	0.04166827126737783	0.0035814687873069666	0.0030423229483575306	0.012284823044633573	0.0011938229291023222	0.0004236145877459853	0.0009627604266954211
ГрузССР	0.01245048104131296	0.00999811356347859	0.003395585738539898	0.0018864365214110545	0.018298434257687228	0.0035842293906810036	0.00415016034710432	0.0103754008677608	0.08243727598566308	0.051688360686662896	0.03999245425391436	0.019807583474816072	0.02867383512544803	0.017732503301263913	0.007545746085644218	0.00792303338992643	0.012073193737030748	0.0103754008677608	0.003772873042822109	0.010564044519901906	0.04678362573099415	0.05847953216374269	0.011695906432748537	0.010941331824184115	0.05244293529522732	0.02282588190907376	0.030560271646859084	0.0484814186002641	0.07130730050933787	1.0	0.35389549141671384	0.42840973401245047	0.5212224108658744	0.16751556310130164	0.08828522920203735	0.20015091492171289	0.45199019053008865	0.28447462742878704	0.502735332956046	0.15204678362573099	0.1143180531975099	0.1282776834559517	0.09639690624410488	0.41727975853612526	0.7306168647425014	0.15431050745142427	0.1795887568383324	0.452556121486512	0.7143935106583663	0.13563478588945482	0.12997547632522166	0.04659498207885305	0.0520656479909451	0.045274476513865305	0.0345217883418223	0.03829466138464441	0.05131107338238068	0.04640633842671194	0.09507640067911714	0.025466893039049237	0.01905300886625165	0.018864365214110546	0.044519901905300883	0.03395585738539898	0.014148273910582909	0.00999811356347859	0.013016411997736276	0.01999622712695718	0.02282588190907376	0.013582342954159592	0.013016411997736276	0.013582342954159592	0.017543859649122806	0.01697792869269949	0.016789285040558384	0.028485191473306925	0.04376532729673646	0.013959630258441803	0.002452367477834371	0.003772873042822109	0.008488964346349746	0.0009432182607055273	0.005470665912092058	0.0009432182607055273
КазССР	0.0036441842403966782	0.006213035426250075	0.011888404325228509	0.00274807336161061	0.009618256765637136	0.0025091104606009915	0.0013142959555529003	0.007168887030288547	0.0627875022402772	0.04373021088476014	0.026644363462572436	0.011290997072704463	0.0130832188302766	0.018220921201983393	0.007049405579783738	0.005257183822211601	0.017862476850468965	0.009916960391899158	0.005257183822211601	0.007826035008064999	0.04504450684031304	0.05322898619989247	0.009797478941394348	0.011111774896947249	0.03691976820598602	0.019296254256526674	0.02825736304438736	0.032140510185793655	0.049943246311010214	0.29511918274687854	0.4248162972698489	0.37242368122349007	0.19248461676324752	0.1427205926279945	0.09271760559173188	0.23466156879144512	0.6417946113865822	0.4152577812294641	0.628472429655296	0.344942947607384	0.9005316924547464	1.0	0.42726566700519747	0.7830216858832666	0.6515323496027242	0.4644243981121931	0.18901965469860804	0.24935778720353666	0.5327080470756915	0.3731405699265189	0.3389091343568911	0.19152876515920902	0.22874723699145708	0.1964275046299062	0.09110460600991696	0.07796164645438795	0.09116434673516936	0.068223908238246	0.21936794312682956	0.136447816476492	0.20831590895513472	0.08638508871497699	0.12264770894318656	0.06846287113925563	0.06912001911703208	0.05024194993727224	0.05812772567058964	0.06935898201804169	0.08722145886851067	0.050421172113029454	0.15723758886432881	0.17426369556126411	0.04928609833323377	0.10418782484019357	0.034709361371647054	0.06684987155744071	0.06129398410896708	0.021685883266622855	0.004719517294939961	0.004779258020192365	0.006033813250492861	0.0016129995818149232	0.00041818507676683194	0.0008961108787860684
КирССР	0.00498266897746967	0.0034662045060658577	0.0017331022530329288	0.00389948006932409	0.006065857885615251	0.003682842287694974	0.0010831889081455806	0.009098786828422877	0.04787694974003466	0.03487868284228769	0.012998266897746967	0.01278162911611785	0.01559792027729636	0.00996533795493934	0.002383015597920277	0.0030329289428076256	0.012131715771230503	0.017547660311958407	0.00389948006932409	0.00389948006932409	0.030979202772963604	0.03509532062391681	0.006715771230502599	0.005632582322357019	0.020363951473136917	0.01776429809358752	0.023613518197573655	0.02621317157712305	0.03011265164644714	0.14969670710571925	0.16572790294627382	0.2751299826689775	0.1854419410745234	0.11850086655112652	0.14969670710571925	0.19865684575389947	0.3093587521663778	0.2699306759098787	0.5446273830155979	0.14709705372616985	0.2512998266897747	0.25064991334488734	0.4100953206239168	0.7619150779896013	0.9055459272097054	1.0	0.307842287694974	0.6291161178509532	0.5558925476603119	0.20493934142114384	0.24631715771230503	0.31910745233968807	0.22378682842287695	0.17612651646447142	0.13626516464471403	0.05177642980935875	0.07495667244367418	0.03661178509532063	0.07474003466204505	0.05827556325823224	0.11481802426343155	0.08557192374350087	0.04484402079722704	0.058708838821490465	0.061308492201039864	0.01949740034662045	0.04072790294627383	0.04679376083188908	0.02058058925476603	0.007149046793760832	0.2738301559792028	0.1639948006932409	0.03682842287694974	0.030329289428076257	0.02837954939341421	0.05762564991334489	0.03249566724436742	0.013214904679376083	0.0012998266897746968	0.0012998266897746968	0.002166377816291161	0.0012998266897746968	0.0002166377816291161	0.0006499133448873484
Латвийская ССР	0.0	0.0013203063110641669	0.0	0.0	0.0031687351465540005	0.0	0.0	0.0	0.0007921837866385001	0.0018484288354898336	0.0002640612622128334	0.0	0.0	0.0026406126221283337	0.0018484288354898336	0.0	0.0	0.0010562450488513335	0.0002640612622128334	0.0002640612622128334	0.002904673884341167	0.0015843675732770002	0.0005281225244256667	0.0005281225244256667	0.0010562450488513335	0.0005281225244256667	0.0005281225244256667	0.002112490097702667	0.0005281225244256667	0.059677845260100344	0.03221547398996567	0.03591233166094534	0.010562450488513335	0.012146818061790335	0.0031687351465540005	0.0052812252442566675	0.006337470293108001	0.004753102719831001	0.0052812252442566675	0.0013203063110641669	0.0023765513599155004	0.0018484288354898336	0.0023765513599155004	0.004489041457618167	0.003432796408766834	0.0015843675732770002	0.0010562450488513335	0.0023765513599155004	0.004224980195405334	0.0018484288354898336	0.002904673884341167	0.002112490097702667	0.0013203063110641669	0.0018484288354898336	0.0015843675732770002	0.0013203063110641669	0.0013203063110641669	0.0007921837866385001	0.0023765513599155004	0.0013203063110641669	0.009242144177449169	0.006865592817533668	0.006073409030895168	0.007129654079746501	0.003960918933192501	0.01716398204383417	0.12041193556905203	1.0	0.22101927647214153	0.2627409559017692	0.10377607604964352	0.10298389226300501	0.06839186691312385	0.040401373118563504	0.02825455505677317	0.02667018748349617	0.025613942434644838	0.08080274623712701	0.002904673884341167	0.0023765513599155004	0.0002640612622128334	0.0002640612622128334	0.0002640612622128334	0.0002640612622128334
Литовская ССР	0.0	0.00015008254539996998	0.00045024763619990995	0.00015008254539996998	0.0012006603631997599	0.00015008254539996998	0.0	0.00015008254539996998	0.0018009905447996398	0.0013507429085997298	0.0006003301815998799	0.00045024763619990995	0.0012006603631997599	0.0006003301815998799	0.0037520636349992497	0.00030016509079993996	0.0006003301815998799	0.00045024763619990995	0.0	0.00045024763619990995	0.0016509079993996699	0.0016509079993996699	0.00045024763619990995	0.00015008254539996998	0.0009004952723998199	0.00075041272699985	0.00075041272699985	0.0015008254539997	0.0018009905447996398	0.020711391265195857	0.017709740357196458	0.017109410175596577	0.011406273450397719	0.0135074290859973	0.00795437490619841	0.00795437490619841	0.013057181449797388	0.008854870178598229	0.008554705087798289	0.004652558907399069	0.00510280654359898	0.00585321927059883	0.0019510730901996097	0.008554705087798289	0.00585321927059883	0.0036019810895992796	0.00105057781779979	0.0024013207263995197	0.007053879633798589	0.005553054179798889	0.004652558907399069	0.0036019810895992796	0.0015008254539997	0.0013507429085997298	0.00105057781779979	0.0018009905447996398	0.004652558907399069	0.0037520636349992497	0.0039021461803992194	0.0013507429085997298	0.006903797088398619	0.007354044724598529	0.013357346540597328	0.011856521086597628	0.0034518985441993094	0.011556355995797688	0.07669218069938466	0.664715593576467	0.5251388263544949	0.2360798439141528	0.19540747411076093	0.4555005252889089	0.8956926309470209	1.0	0.8059432687978388	0.6558607233978688	0.1844514482965631	0.01575866726699685	0.013357346540597328	0.028665766171394266	0.029716343989194056	0.027315023262794537	0.013657511631397268	0.020561308719795886
РСФСР	0.004521545234510492	0.007542261439652379	0.009581483104953213	0.006760877437060471	0.018081416401440797	0.005788911970421757	0.0034495244992472033	0.011897047893121914	0.0965533342227135	0.06073831259171733	0.03132682815269387	0.01375045263097711	0.013497932191115091	0.01791942215700101	0.008523755979493435	0.007585142269062911	0.023632101541804045	0.037258676221150734	0.012154332869585104	0.015775380686474435	0.08134016885517714	0.09190791103657259	0.01851975376874845	0.01398391492443445	0.04038897676811953	0.032899125231080024	0.05404413866707324	0.09068818966667302	0.11730289112080959	1.0	0.8875378780659793	0.857792876064874	0.6253454289035848	0.5990023060357149	0.36178079320005335	0.3488879571572869	0.5518619809037373	0.5110584894513159	0.5976253549579768	0.35352385127022545	0.44862400182958206	0.37358731489775304	0.2786586876560386	0.789674296277944	0.33504697833088753	0.2792113739017743	0.21397533875855235	0.4401193039964933	0.7601579920336948	0.33445617579234244	0.34512873777896363	0.29885079377179774	0.22073145165901165	0.2877113071982619	0.13593699376798613	0.20317413428369957	0.20928227020639972	0.21218863753311354	0.6334213184425683	0.206013798097997	0.15909264164967316	0.1764307903413314	0.36279087495950146	0.19161060395265955	0.15450439290274628	0.1479531550761373	0.12933334603876426	0.12115740123115626	0.12522155095195442	0.11811286234300852	0.3391825961007032	0.2845190676754779	0.11549236721236493	0.11413447428103142	0.1271273655924225	0.13752834899277697	0.13541289474185741	0.04539650473594938	0.02205503992681672	0.03594842865582894	0.03555773665453298	0.018886623087038555	0.018819919574622174	0.018029006498827924
ТаджССР	0.00253029697696098	0.003862032227993075	0.00253029697696098	0.00026634705020641894	0.002796644027167399	0.0013317352510320948	0.0013317352510320948	0.0023971234518577705	0.024370755093887336	0.013450526035424158	0.011319749633772806	0.003062991077373818	0.008389932081502197	0.013051005460114529	0.003995205753096284	0.0013317352510320948	0.004261552803302703	0.0043947263284059125	0.0007990411506192569	0.001997602876548142	0.014649087761353043	0.01531495538686909	0.0029298175522706085	0.0037288587028898655	0.01025436143294713	0.006658676255160474	0.01012118790784392	0.011053402583566387	0.01558130243707551	0.08363297376481556	0.06538820082567585	0.11785856971634039	0.07910507391130643	0.047676121986949	0.040085231056066054	0.17059528565721135	0.08469836196564123	0.07604208283393261	0.08416566786522839	0.034891463577040885	0.05912904514582501	0.0660540684511919	0.07803968571048076	0.1281129311492875	0.28152883206818485	0.18630976161939006	0.05992808629644426	0.0872286589426022	0.17512318551072048	0.112531628712212	1.0	0.5408176854441337	0.418963909974697	0.4674390731122653	0.06432281262485018	0.03782128112931149	0.07311226528166201	0.03462511652683446	0.03076308429884139	0.024237581568784125	0.01278465840990811	0.007990411506192568	0.019443334665068583	0.017046211213210812	0.006658676255160474	0.009721667332534292	0.010653882008256758	0.009721667332534292	0.0070581968304701025	0.004527899853509122	0.1206552137435078	0.07497669463310694	0.06951658010387535	0.016113996537488347	0.0057264615794380075	0.008656279131708616	0.01584764948728193	0.006125982154747636	0.00026634705020641894	0.0007990411506192569	0.0009322146757224664	0.00039952057530962844	0.00039952057530962844	0.0006658676255160474
