-	1939-01	1939-02	1939-03	1939-04	1939-05	1939-06	1939-07	1939-08	1939-09	1939-10	1939-11	1939-12	1940-01	1940-02	1940-03	1940-04	1940-05	1940-06	1940-07	1940-08	1940-09	1940-10	1940-11	1940-12	1941-01	1941-02	1941-03	1941-04	1941-05	1941-06	1941-07	1941-08	1941-09	1941-10	1941-11	1941-12	1942-01	1942-02	1942-03	1942-04	1942-05	1942-06	1942-07	1942-08	1942-09	1942-10	1942-11	1942-12	1943-01	1943-02	1943-03	1943-04	1943-05	1943-06	1943-07	1943-08	1943-09	1943-10	1943-11	1943-12	1944-01	1944-02	1944-03	1944-04	1944-05	1944-06	1944-07	1944-08	1944-09	1944-10	1944-11	1944-12	1945-01	1945-02	1945-03	1945-04	1945-05	1945-06	1945-07	1945-08	1945-09	1945-10	1945-11	1945-12
АзССР	3.213578147668596e-05	1.622388967755019e-05	8.423942717189523e-06	6.5519554467029625e-06	2.7455813300469557e-05	7.799946960360669e-06	5.927959689874109e-06	2.121585573218102e-05	0.00016879085222220488	9.016738686176934e-05	5.5847620236182396e-05	3.49437623824158e-05	5.959159477715552e-05	2.714381542205513e-05	1.9967864218523313e-05	8.73594059560395e-06	2.5583826029982996e-05	2.620782178681185e-05	9.359936352432803e-06	2.339984088108201e-05	9.89033274573733e-05	8.080745050933654e-05	1.653588755596462e-05	2.4959830273154143e-05	0.00015537494345038453	6.551955446702963e-05	6.551955446702963e-05	8.361543141506638e-05	0.00011918318955431104	0.0014392462131257507	0.0005846840241486358	0.0007856106578475266	0.0012401915666973465	0.0002951499929800477	0.00019125469946804362	0.0005466202829820758	0.0017035084161427703	0.0006561315383055395	0.0011553281437686224	0.0005188524718031918	0.00024991030060995587	0.0002745581330046956	0.00020716659126717937	0.0008005865560114191	0.0008314743459744473	0.0003157418529553999	0.0012854312590674384	0.0007219630906509836	0.002030794190599504	0.0026547899474283574	0.00038750136499071804	0.00029047002480383133	0.00020903857853766595	0.00015693493284245667	0.00010264730199834641	8.236743990140867e-05	0.00010202330624151756	6.17755799260565e-05	0.00011980718531113989	5.9903592655569943e-05	5.24156435736237e-05	3.369577086875809e-05	4.960766266789386e-05	7.737547384677784e-05	2.4959830273154143e-05	2.4647832394739717e-05	1.8719872704865606e-05	3.993572843704663e-05	4.087172207228991e-05	1.6847885434379045e-05	2.3711838759496435e-05	3.463176450400137e-05	3.9311732680217776e-05	3.868773692338892e-05	2.5583826029982996e-05	3.806374116656007e-05	7.862346536043555e-05	3.0263794206199397e-05	2.495983027315414e-06	8.423942717189523e-06	4.991966054630828e-06	2.807980905729841e-06	3.1199787841442677e-07	1.559989392072134e-06
АрССР	3.4312326391325845e-05	1.0917558397240042e-05	9.357907197634321e-06	5.458779198620021e-06	3.50921519911287e-05	3.1193023992114404e-06	3.8991279990143006e-06	1.793598879546578e-05	0.00012477209596845762	8.344133917890603e-05	4.990883838738305e-05	4.0550931189748726e-05	4.8349187187777324e-05	3.3532500791522987e-05	8.578081597831461e-06	8.578081597831461e-06	1.793598879546578e-05	1.0917558397240042e-05	7.798255998028601e-06	2.261494239428294e-05	8.890011837752605e-05	0.00010527645597338611	1.5596511996057202e-05	2.3394767994085803e-05	8.656064157811747e-05	7.330360638146885e-05	7.330360638146885e-05	6.550535038344024e-05	0.00017312128315623493	0.002479845407373095	0.0006269797822414995	0.0008047800189965516	0.0011159304333178929	0.00029789337912469255	0.00020977308634696935	0.0006394569918383452	0.000607484142246428	0.0011245085149157242	0.0008453309501863003	0.00032986622871660984	0.00021991081914440655	0.00021445203994578652	0.00016688267835781207	0.0007728071694046343	0.0021421809226584566	0.00028619599512764966	0.0009474881037604751	0.0006059244910468223	0.0013218043916658477	0.0003649583807077385	0.00024486523833809804	0.000150506340761952	0.00015908442235978347	7.252378078166599e-05	4.211058238935444e-05	8.032203677969459e-05	0.00012477209596845762	0.00017546075995564353	6.628517598324311e-05	3.665180319073443e-05	1.793598879546578e-05	2.0275465594874363e-05	4.7569361587974465e-05	6.784482718284882e-05	9.357907197634321e-06	1.637633759586006e-05	2.4954419193691524e-05	4.211058238935444e-05	4.4450059188763025e-05	9.357907197634321e-06	1.8715814395268643e-05	4.990883838738305e-05	4.289040798915731e-05	3.275267519172012e-05	1.8715814395268643e-05	9.903785117496323e-05	0.00012867122396747192	3.587197759093156e-05	2.3394767994085803e-06	9.357907197634321e-06	1.3257035196648622e-05	7.798255998028601e-07	5.458779198620021e-06	2.3394767994085803e-06
БССР	6.643928867583625e-06	8.260019673212074e-06	1.0773938704189661e-05	4.130009836606037e-06	3.4476603853406914e-05	9.157847898561212e-06	8.439585318281902e-06	1.6699604991493975e-05	0.00014670513202204923	0.00012569595154887937	6.195014754909056e-05	3.8606613690012954e-05	2.118874611823967e-05	2.801224063089312e-05	1.400612031544656e-05	1.4365251605586215e-05	4.560967384773623e-05	3.106485659708019e-05	1.9213524022471564e-05	2.2625271278798288e-05	0.00021116919860211737	0.00029754027388070447	3.50153007886164e-05	2.801224063089312e-05	2.7473543695683638e-05	1.9572655312611218e-05	4.3275320461828475e-05	6.841451077160435e-05	0.00015191253572907423	0.0011391644523229868	0.0010574620838162154	0.00027653109340753464	0.00017274215055717424	0.0001815408671655958	0.00011133069994329316	7.559713657439746e-05	0.00010037719559403368	8.044540899128281e-05	9.85815391433354e-05	5.009881497448193e-05	6.733711690118538e-05	8.69097722137966e-05	7.182625802793108e-05	0.0001070211244616173	8.601194398844747e-05	5.6383612551925895e-05	3.3219644337918126e-05	5.153534013504055e-05	8.601194398844747e-05	6.697798561104573e-05	6.302754141950952e-05	4.704619900829485e-05	4.381401739703796e-05	5.710187513220521e-05	4.489141126745692e-05	7.344234883355952e-05	0.00022858706617389065	0.0008475498447295867	0.00047710591895053217	0.0008838221050336918	0.00018441391748671304	0.00015999298975721647	0.00017328084749238372	0.00017399911007266305	0.00016071125233749577	0.0008324663305437212	0.004662781105528216	0.0016074716546650976	0.0007547144062284858	0.00047315547475899596	0.0008963917001885798	0.0020409431218636614	0.00026970759889488117	0.0009547505348362739	0.0008928003872871832	0.00040743444866343906	0.0002503145092273398	0.00019429002796555355	1.6699604991493975e-05	1.4185685960516388e-05	5.7281440777275033e-05	5.566534997164659e-06	1.9752220957681047e-06	4.4891411267456925e-06
ГрузССР	1.864394666362337e-05	1.4971654138970283e-05	5.084712726442738e-06	2.8248404035792987e-06	2.7400951914719198e-05	5.367196766800668e-06	6.214648887874457e-06	1.5536622219686143e-05	0.00012344552563641536	7.740062705807278e-05	5.9886616555881134e-05	2.9660824237582636e-05	4.293757413440534e-05	2.655349979364541e-05	1.1299361614317195e-05	1.1864329695033055e-05	1.8078978582907512e-05	1.5536622219686143e-05	5.649680807158597e-06	1.5819106260044074e-05	7.00560420087666e-05	8.757005251095826e-05	1.751401050219165e-05	1.6384074340759932e-05	7.85305632195045e-05	3.4180568883309514e-05	4.576241453798464e-05	7.259839837198798e-05	0.00010677896725529749	0.0014974478979373862	0.0005299400597114764	0.0006415212556528587	0.0007805034035089603	0.0002508458278378417	0.0001322025308875112	0.0002997155668197636	0.0006768317606976	0.0004259859328597583	0.0007528199675538831	0.0002276821365284915	0.0001711853284569055	0.00019208914744339232	0.00014434934462290218	0.0006248546972717409	0.0010940606883062625	0.00023107194501278665	0.0002689248064207492	0.0006776792128186737	0.0010697670608354804	0.00020310602501735157	0.00019463150380661368	6.977355796840868e-05	7.796559513878865e-05	6.779616968590317e-05	5.169457938550117e-05	5.734426019265977e-05	7.683565897735693e-05	6.949107392805075e-05	0.00014237195634039665	3.8135345448320536e-05	2.8530888076150917e-05	2.8248404035792986e-05	6.666623352447145e-05	5.084712726442738e-05	2.118630302684474e-05	1.4971654138970283e-05	1.9491398784697162e-05	2.9943308277940567e-05	3.4180568883309514e-05	2.033885090577095e-05	1.9491398784697162e-05	2.033885090577095e-05	2.627101575328748e-05	2.542356363221369e-05	2.514107959185576e-05	4.2655090094047413e-05	6.553629736303973e-05	2.0903818986486812e-05	3.6722925246530886e-06	5.649680807158597e-06	1.2711781816106845e-05	1.4124202017896494e-06	8.192037170379966e-06	1.4124202017896494e-06
КазССР	9.916922203533611e-06	1.6907539494549108e-05	3.2351926532839156e-05	7.478334776435182e-06	2.6174171717523136e-05	6.8280447958756005e-06	3.5765948930776956e-06	1.950869941678743e-05	0.0001708636923920299	0.00011900306644240332	7.250733283239328e-05	3.0726201581440203e-05	3.560337643563706e-05	4.958461101766805e-05	1.918355442650764e-05	1.4306379572310782e-05	4.860917604682868e-05	2.6987034193222612e-05	1.4306379572310782e-05	2.129699686332628e-05	0.00012257966133548103	0.00014485209316964667	2.6661889202942822e-05	3.0238484096020517e-05	0.00010046980199645527	5.2510915930186165e-05	7.689679020117045e-05	8.746400238526365e-05	0.00013591060593695243	0.0008031081259910826	0.0011560530129397953	0.001013476934702107	0.0005238085793407425	0.00038838569088920976	0.00025231251245711746	0.0006385847609095086	0.0017465163152878948	0.001130041413717412	0.001710262648871698	0.0009386935869377552	0.0024506177917387813	0.0027213009961467066	0.0011627184852405308	0.002130837693798607	0.0017730156319956977	0.0012638385772175457	0.0005143793746226286	0.0006785775947139228	0.001449658939162446	0.0010154278046437858	0.0009222737649286258	0.0005212074194185041	0.0006224900838906589	0.0005345383640199756	0.0002479230550883403	0.0002121571061575633	0.0002480856275834802	0.00018565778944976038	0.0005969662021536954	0.00037131557889952076	0.0005668902905528148	0.00023507982797228854	0.00033376133252220494	0.00018630807943031995	0.0001880963768768588	0.0001367234684126519	0.00015818303777111807	0.0001887466668574184	0.00023735584290424707	0.0001372111858980716	0.0004278908072082043	0.00047422396832307446	0.00013412230849041358	0.00028352643152397734	9.445461967627915e-05	0.00018191862206154278	0.00016679938001353252	5.901381573578198e-05	1.2843227116051725e-05	1.3005799611191621e-05	1.641982200912942e-05	4.389457368777172e-06	1.1380074659792669e-06	2.4385874270984287e-06
КирССР	1.5772730046982164e-05	1.0972333945726721e-05	5.4861669728633605e-06	1.2343875688942563e-05	1.9201584405021762e-05	1.1658104817334641e-05	3.4288543580396006e-06	2.8802376607532645e-05	0.00015155536262535034	0.00011040911032887514	4.1146252296475204e-05	4.0460481424867286e-05	4.937550275577025e-05	3.154546009396433e-05	7.543479587687121e-06	9.600792202510881e-06	3.8403168810043524e-05	5.554744060024153e-05	1.2343875688942563e-05	1.2343875688942563e-05	9.806523463993257e-05	0.00011109488120048306	2.1258897019845524e-05	1.7830042661805922e-05	6.446246193114449e-05	5.6233211471849447e-05	7.47490250052633e-05	8.297827546455833e-05	9.53221511535009e-05	0.00047386767228107277	0.0005246147167800589	0.0008709290069420586	0.0005870198660963797	0.0003751166667695323	0.00047386767228107277	0.0006288518892644628	0.0009792808046561099	0.0008544705060234684	0.001724027971222311	0.00046563842182177775	0.0007954942110651874	0.0007934368984503636	0.0012981642599537927	0.002411856155445055	0.002866522243321106	0.0031655183433421594	0.0009744804085548545	0.0019914786111494	0.001759688056545923	0.0006487392445410924	0.0007797214810182051	0.0010101404938784664	0.0007084013103709815	0.0005575317186172391	0.0004313498782413817	0.0001638992383142929	0.00023727672157634037	0.0001158952773017385	0.00023659095070473242	0.0001844723644625305	0.00036345856195219765	0.0002708794942851284	0.00014195457042283946	0.00018584390620574634	0.00019407315666504138	6.17193784447128e-05	0.00012892492386228899	0.00014812650826731075	6.514823280275241e-05	2.2630438763061364e-05	0.000866814381712411	0.0005191285498071955	0.00011658104817334642	9.600792202510881e-05	8.983598418063754e-05	0.00018241505184770675	0.00010286563074118801	4.183202316808313e-05	4.114625229647521e-06	4.114625229647521e-06	6.857708716079201e-06	4.114625229647521e-06	6.857708716079201e-07	2.0573126148237603e-06
Латвийская ССР	0.0	2.6233829467516222e-06	0.0	0.0	6.296119072203894e-06	0.0	0.0	0.0	1.5740297680509735e-06	3.672736125452271e-06	5.246765893503245e-07	0.0	0.0	5.2467658935032445e-06	3.672736125452271e-06	0.0	0.0	2.098706357401298e-06	5.246765893503245e-07	5.246765893503245e-07	5.771442482853569e-06	3.148059536101947e-06	1.049353178700649e-06	1.049353178700649e-06	2.098706357401298e-06	1.049353178700649e-06	1.049353178700649e-06	4.197412714802596e-06	1.049353178700649e-06	0.00011857690919317333	6.401054390073958e-05	7.135601615164412e-05	2.0987063574012978e-05	2.4135123110114925e-05	6.296119072203894e-06	1.0493531787006489e-05	1.2592238144407788e-05	9.44417860830584e-06	1.0493531787006489e-05	2.6233829467516222e-06	4.72208930415292e-06	3.672736125452271e-06	4.72208930415292e-06	8.919502018955515e-06	6.820795661554218e-06	3.148059536101947e-06	2.098706357401298e-06	4.72208930415292e-06	8.394825429605192e-06	3.672736125452271e-06	5.771442482853569e-06	4.197412714802596e-06	2.6233829467516222e-06	3.672736125452271e-06	3.148059536101947e-06	2.6233829467516222e-06	2.6233829467516222e-06	1.5740297680509735e-06	4.72208930415292e-06	2.6233829467516222e-06	1.8363680627261356e-05	1.3641591323108436e-05	1.2067561555057463e-05	1.416626791245876e-05	7.870148840254867e-06	3.410397830777109e-05	0.00023925252474374796	0.0019869502438696787	0.00043915430528622157	0.0005220532064035728	0.00020619789961467752	0.00020462386984662653	0.00013589123664173403	8.027551817059965e-05	5.614039506048472e-05	5.299233552438277e-05	5.0893629166981476e-05	0.0001605510363411993	5.771442482853569e-06	4.72208930415292e-06	5.246765893503245e-07	5.246765893503245e-07	5.246765893503245e-07	5.246765893503245e-07
Литовская ССР	0.0	3.92156862745098e-07	1.176470588235294e-06	3.92156862745098e-07	3.137254901960784e-06	3.92156862745098e-07	0.0	3.92156862745098e-07	4.705882352941176e-06	3.5294117647058825e-06	1.568627450980392e-06	1.176470588235294e-06	3.137254901960784e-06	1.568627450980392e-06	9.803921568627451e-06	7.84313725490196e-07	1.568627450980392e-06	1.176470588235294e-06	0.0	1.176470588235294e-06	4.313725490196079e-06	4.313725490196079e-06	1.176470588235294e-06	3.92156862745098e-07	2.352941176470588e-06	1.96078431372549e-06	1.96078431372549e-06	3.92156862745098e-06	4.705882352941176e-06	5.411764705882353e-05	4.627450980392157e-05	4.470588235294118e-05	2.980392156862745e-05	3.529411764705882e-05	2.0784313725490197e-05	2.0784313725490197e-05	3.4117647058823526e-05	2.3137254901960785e-05	2.235294117647059e-05	1.215686274509804e-05	1.3333333333333333e-05	1.5294117647058822e-05	5.098039215686274e-06	2.235294117647059e-05	1.5294117647058822e-05	9.411764705882352e-06	2.7450980392156863e-06	6.274509803921568e-06	1.843137254901961e-05	1.4509803921568627e-05	1.215686274509804e-05	9.411764705882352e-06	3.92156862745098e-06	3.5294117647058825e-06	2.7450980392156863e-06	4.705882352941176e-06	1.215686274509804e-05	9.803921568627451e-06	1.0196078431372549e-05	3.5294117647058825e-06	1.803921568627451e-05	1.9215686274509803e-05	3.4901960784313725e-05	3.098039215686275e-05	9.019607843137255e-06	3.019607843137255e-05	0.0002003921568627451	0.0017368627450980393	0.001372156862745098	0.0006168627450980392	0.0005105882352941176	0.0011901960784313726	0.002340392156862745	0.0026129411764705883	0.0021058823529411766	0.0017137254901960785	0.0004819607843137255	4.11764705882353e-05	3.4901960784313725e-05	7.490196078431373e-05	7.764705882352942e-05	7.137254901960785e-05	3.568627450980392e-05	5.372549019607843e-05
РСФСР	8.67478983493429e-06	1.4470171031297134e-05	1.8382510387832303e-05	1.2971050343278984e-05	3.469001835993217e-05	1.1106290463061288e-05	6.6180693788118284e-06	2.2825026573056817e-05	0.00018524195574809628	0.00011652921055399612	6.010194221780079e-05	2.6380867717197426e-05	2.5896395787533024e-05	3.437922504656255e-05	1.6353212871124808e-05	1.4552439849542031e-05	4.533925983274402e-05	7.148246207501173e-05	2.3318639482526207e-05	3.026578413431763e-05	0.00015605480723076732	0.00017632950043823227	3.553098850199113e-05	2.6828775727641873e-05	7.748808580688932e-05	6.311846555344707e-05	0.00010368613392798698	0.00017398940960815516	0.00022505092279882213	0.0019185454053902511	0.0017027817180732977	0.0016457145811507531	0.0011997535994047687	0.001149213122062986	0.000694092878552403	0.0006693573872001036	0.0010587722678724277	0.0009804889168225045	0.0011465713788993443	0.0006782515605503576	0.0008607055174579323	0.000716744226509165	0.0005346193448745699	0.0015150259928788294	0.0006428028408666113	0.0005356796985319486	0.0004105214030420431	0.0008443888685060275	0.0014583976229869244	0.0006416693593707928	0.0006621451541339675	0.000573358817288112	0.00042348331240551714	0.0005519872065040484	0.000260801294816133	0.0003897988018241337	0.00040151753793412926	0.00040709353561517236	0.0012152475601742245	0.000395246825787907	0.00030522645666837816	0.00033849048217873205	0.0006960307662710606	0.0003676136438374261	0.000296423693116174	0.0002838548458843145	0.00024813189680641864	0.000232445975461058	0.00024024323123471338	0.0002266048893656702	0.0006507372113373415	0.000545862750034706	0.0002215773504729264	0.00021897217122850463	0.00024389962315670886	0.00026385438207099924	0.00025979578703758425	8.709525558193247e-05	4.231359551729275e-05	6.896869262863985e-05	6.821913228463076e-05	3.623484394697526e-05	3.610687022970542e-05	3.458946758207729e-05
ТаджССР	1.2799439519279997e-05	1.9535986634690524e-05	1.2799439519279997e-05	1.347309423082105e-06	1.4146748942362104e-05	6.736547115410525e-06	6.736547115410525e-06	1.2125784807738946e-05	0.00012327881221201262	6.80391258656463e-05	5.7260650480989464e-05	1.549405836544421e-05	4.244024682708631e-05	6.601816173102315e-05	2.0209641346231574e-05	6.736547115410525e-06	2.155695076931368e-05	2.2230605480854733e-05	4.041928269246315e-06	1.0104820673115787e-05	7.410201826951577e-05	7.747029182722104e-05	1.4820403653903155e-05	1.886233192314947e-05	5.1871412788661046e-05	3.3682735577052624e-05	5.119775807711999e-05	5.591334105790736e-05	7.881760125030314e-05	0.000423055158847781	0.0003307644633666568	0.0005961844197138314	0.0004001508986553852	0.0002411683867316968	0.00020277006817385682	0.0008629516854840883	0.0004284443965401094	0.00038465684028994097	0.0004257497776939452	0.00017649753442375575	0.0002991026919242273	0.00033413273692436203	0.0003947616609630568	0.0006480558325024925	0.001424106060197785	0.0009424429414459324	0.00030314462019347365	0.0004412438360593894	0.000885855945676484	0.0005692382312521894	0.005058473228961764	0.0027357117835682143	0.0021193177225081513	0.002364528037509094	0.0003253752256743284	0.0001913179380776589	0.00036983643663603783	0.00017515022500067367	0.00015561423836598314	0.00012260515750047156	6.467085230794104e-05	4.041928269246315e-05	9.835358788499367e-05	8.622780307725472e-05	3.3682735577052624e-05	4.9176793942496834e-05	5.38923769232842e-05	4.9176793942496834e-05	3.570369971167578e-05	2.2904260192395786e-05	0.0006103311686561936	0.00037926760259761257	0.0003516477594244294	8.151222009646735e-05	2.8967152596265257e-05	4.3787556250168417e-05	8.016491067338525e-05	3.098811673088842e-05	1.347309423082105e-06	4.041928269246315e-06	4.715582980787368e-06	2.0209641346231574e-06	2.0209641346231574e-06	3.3682735577052626e-06
