region	population	year	month	count	count_le_21	count_ge_22
АзССР	3205150	1939	1	103	57	46
АзССР	3205150	1939	2	52	27	25
АзССР	3205150	1939	3	27	15	12
АзССР	3205150	1939	4	21	11	10
АзССР	3205150	1939	5	88	51	37
АзССР	3205150	1939	6	25	18	7
АзССР	3205150	1939	7	19	11	8
АзССР	3205150	1939	8	68	36	32
АзССР	3205150	1939	9	541	295	246
АзССР	3205150	1939	10	289	183	106
АзССР	3205150	1939	11	179	122	57
АзССР	3205150	1939	12	112	67	45
АзССР	3205150	1940	1	191	103	88
АзССР	3205150	1940	2	87	48	39
АзССР	3205150	1940	3	64	31	33
АзССР	3205150	1940	4	28	21	7
АзССР	3205150	1940	5	82	54	28
АзССР	3205150	1940	6	84	35	49
АзССР	3205150	1940	7	30	11	19
АзССР	3205150	1940	8	75	24	51
АзССР	3205150	1940	9	317	252	65
АзССР	3205150	1940	10	259	225	34
АзССР	3205150	1940	11	53	39	14
АзССР	3205150	1940	12	80	67	13
АзССР	3205150	1941	1	498	229	269
АзССР	3205150	1941	2	210	104	106
АзССР	3205150	1941	3	210	100	110
АзССР	3205150	1941	4	268	116	152
АзССР	3205150	1941	5	382	145	237
АзССР	3205150	1941	6	4613	271	4342
АзССР	3205150	1941	7	1874	260	1614
АзССР	3205150	1941	8	2518	571	1947
АзССР	3205150	1941	9	3975	430	3545
АзССР	3205150	1941	10	946	321	625
АзССР	3205150	1941	11	613	254	359
АзССР	3205150	1941	12	1752	487	1265
АзССР	3205150	1942	1	5460	1350	4110
АзССР	3205150	1942	2	2103	812	1291
АзССР	3205150	1942	3	3703	927	2776
АзССР	3205150	1942	4	1663	294	1369
АзССР	3205150	1942	5	801	286	515
АзССР	3205150	1942	6	880	300	580
АзССР	3205150	1942	7	664	325	339
АзССР	3205150	1942	8	2566	1687	879
АзССР	3205150	1942	9	2665	1570	1095
АзССР	3205150	1942	10	1012	557	455
АзССР	3205150	1942	11	4120	1150	2970
АзССР	3205150	1942	12	2314	1635	679
АзССР	3205150	1943	1	6509	1858	4651
АзССР	3205150	1943	2	8509	8277	232
АзССР	3205150	1943	3	1242	950	292
АзССР	3205150	1943	4	931	348	583
АзССР	3205150	1943	5	670	434	236
АзССР	3205150	1943	6	503	201	302
АзССР	3205150	1943	7	329	128	201
АзССР	3205150	1943	8	264	130	134
АзССР	3205150	1943	9	327	165	162
АзССР	3205150	1943	10	198	103	95
АзССР	3205150	1943	11	384	262	122
АзССР	3205150	1943	12	192	83	109
АзССР	3205150	1944	1	168	72	96
АзССР	3205150	1944	2	108	48	60
АзССР	3205150	1944	3	159	55	104
АзССР	3205150	1944	4	248	64	184
АзССР	3205150	1944	5	80	32	48
АзССР	3205150	1944	6	79	28	51
АзССР	3205150	1944	7	60	16	44
АзССР	3205150	1944	8	128	48	80
АзССР	3205150	1944	9	131	38	93
АзССР	3205150	1944	10	54	17	37
АзССР	3205150	1944	11	76	37	39
АзССР	3205150	1944	12	111	80	31
АзССР	3205150	1945	1	126	72	54
АзССР	3205150	1945	2	124	38	86
АзССР	3205150	1945	3	82	30	52
АзССР	3205150	1945	4	122	31	92
АзССР	3205150	1945	5	252	45	207
АзССР	3205150	1945	6	97	19	78
АзССР	3205150	1945	7	8	2	6
АзССР	3205150	1945	8	27	4	23
АзССР	3205150	1945	9	16	6	10
АзССР	3205150	1945	10	9	6	3
АзССР	3205150	1945	11	1	0	1
АзССР	3205150	1945	12	5	5	0
