region	population	year	month	count	count_le_21	count_ge_22
АрССР	1282338	1939	1	44	34	10
АрССР	1282338	1939	2	14	5	9
АрССР	1282338	1939	3	12	11	1
АрССР	1282338	1939	4	7	6	1
АрССР	1282338	1939	5	45	32	13
АрССР	1282338	1939	6	4	4	0
АрССР	1282338	1939	7	5	3	2
АрССР	1282338	1939	8	23	20	3
АрССР	1282338	1939	9	160	121	39
АрССР	1282338	1939	10	107	69	38
АрССР	1282338	1939	11	64	46	18
АрССР	1282338	1939	12	52	33	19
АрССР	1282338	1940	1	62	39	23
АрССР	1282338	1940	2	43	19	24
АрССР	1282338	1940	3	11	9	2
АрССР	1282338	1940	4	11	10	1
АрССР	1282338	1940	5	23	16	7
АрССР	1282338	1940	6	14	5	9
АрССР	1282338	1940	7	10	6	4
АрССР	1282338	1940	8	29	17	12
АрССР	1282338	1940	9	114	103	11
АрССР	1282338	1940	10	135	118	17
АрССР	1282338	1940	11	20	17	3
АрССР	1282338	1940	12	30	27	3
АрССР	1282338	1941	1	111	53	58
АрССР	1282338	1941	2	94	50	44
АрССР	1282338	1941	3	94	40	54
АрССР	1282338	1941	4	84	16	68
АрССР	1282338	1941	5	222	44	178
АрССР	1282338	1941	6	3180	147	3033
АрССР	1282338	1941	7	804	157	647
АрССР	1282338	1941	8	1032	231	801
АрССР	1282338	1941	9	1431	192	1239
АрССР	1282338	1941	10	382	141	241
АрССР	1282338	1941	11	269	121	148
АрССР	1282338	1941	12	820	304	516
АрССР	1282338	1942	1	779	305	474
АрССР	1282338	1942	2	1442	240	1202
АрССР	1282338	1942	3	1084	366	718
АрССР	1282338	1942	4	423	149	274
АрССР	1282338	1942	5	282	124	158
АрССР	1282338	1942	6	275	127	148
АрССР	1282338	1942	7	214	116	98
АрССР	1282338	1942	8	991	736	255
АрССР	1282338	1942	9	2747	2097	650
АрССР	1282338	1942	10	367	248	119
АрССР	1282338	1942	11	1215	660	555
АрССР	1282338	1942	12	777	378	399
АрССР	1282338	1943	1	1695	1233	462
АрССР	1282338	1943	2	468	305	163
АрССР	1282338	1943	3	314	202	112
АрССР	1282338	1943	4	193	106	87
АрССР	1282338	1943	5	204	136	68
АрССР	1282338	1943	6	93	45	48
АрССР	1282338	1943	7	54	28	26
АрССР	1282338	1943	8	103	59	44
АрССР	1282338	1943	9	160	107	53
АрССР	1282338	1943	10	225	188	37
АрССР	1282338	1943	11	85	69	16
АрССР	1282338	1943	12	47	23	24
АрССР	1282338	1944	1	23	13	10
АрССР	1282338	1944	2	26	12	14
АрССР	1282338	1944	3	61	15	46
АрССР	1282338	1944	4	87	24	63
АрССР	1282338	1944	5	12	5	7
АрССР	1282338	1944	6	21	12	9
АрССР	1282338	1944	7	32	19	13
АрССР	1282338	1944	8	54	24	30
АрССР	1282338	1944	9	57	26	31
АрССР	1282338	1944	10	12	11	1
АрССР	1282338	1944	11	24	20	4
АрССР	1282338	1944	12	64	54	10
АрССР	1282338	1945	1	55	48	7
АрССР	1282338	1945	2	42	14	28
АрССР	1282338	1945	3	24	13	11
АрССР	1282338	1945	4	127	79	48
АрССР	1282338	1945	5	165	73	92
АрССР	1282338	1945	6	46	8	38
АрССР	1282338	1945	7	3	0	3
АрССР	1282338	1945	8	12	0	12
АрССР	1282338	1945	9	17	16	1
АрССР	1282338	1945	10	1	0	1
АрССР	1282338	1945	11	7	7	0
АрССР	1282338	1945	12	3	3	0
