region	population	year	month	count	count_le_21	count_ge_22
БССР	5568994	1939	1	37	29	8
БССР	5568994	1939	2	46	29	17
БССР	5568994	1939	3	60	32	28
БССР	5568994	1939	4	23	18	5
БССР	5568994	1939	5	192	151	41
БССР	5568994	1939	6	51	34	17
БССР	5568994	1939	7	47	31	16
БССР	5568994	1939	8	93	56	37
БССР	5568994	1939	9	817	641	176
БССР	5568994	1939	10	700	556	144
БССР	5568994	1939	11	345	247	98
БССР	5568994	1939	12	215	153	62
БССР	5568994	1940	1	118	69	49
БССР	5568994	1940	2	156	76	80
БССР	5568994	1940	3	78	44	34
БССР	5568994	1940	4	80	66	14
БССР	5568994	1940	5	254	200	54
БССР	5568994	1940	6	173	95	78
БССР	5568994	1940	7	107	48	59
БССР	5568994	1940	8	126	109	17
БССР	5568994	1940	9	1176	1045	131
БССР	5568994	1940	10	1657	1410	247
БССР	5568994	1940	11	195	159	36
БССР	5568994	1940	12	156	130	26
БССР	5568994	1941	1	153	77	77
БССР	5568994	1941	2	109	41	68
БССР	5568994	1941	3	241	88	153
БССР	5568994	1941	4	381	139	242
БССР	5568994	1941	5	846	317	529
БССР	5568994	1941	6	6344	805	5539
БССР	5568994	1941	7	5889	1922	3967
БССР	5568994	1941	8	1540	371	1169
БССР	5568994	1941	9	962	306	656
БССР	5568994	1941	10	1011	292	719
БССР	5568994	1941	11	620	374	246
БССР	5568994	1941	12	421	142	279
БССР	5568994	1942	1	559	138	421
БССР	5568994	1942	2	448	119	329
БССР	5568994	1942	3	549	151	398
БССР	5568994	1942	4	279	82	197
БССР	5568994	1942	5	375	130	245
БССР	5568994	1942	6	484	155	329
БССР	5568994	1942	7	400	162	238
БССР	5568994	1942	8	596	371	225
БССР	5568994	1942	9	479	256	223
БССР	5568994	1942	10	314	121	193
БССР	5568994	1942	11	185	77	108
БССР	5568994	1942	12	287	103	184
БССР	5568994	1943	1	479	332	147
БССР	5568994	1943	2	373	195	178
БССР	5568994	1943	3	351	173	178
БССР	5568994	1943	4	262	145	117
БССР	5568994	1943	5	244	118	126
БССР	5568994	1943	6	318	153	165
БССР	5568994	1943	7	250	101	149
БССР	5568994	1943	8	409	181	228
БССР	5568994	1943	9	1273	515	758
БССР	5568994	1943	10	4720	2171	2549
БССР	5568994	1943	11	2657	2062	595
БССР	5568994	1943	12	4922	1532	3390
БССР	5568994	1944	1	1027	327	700
БССР	5568994	1944	2	891	488	403
БССР	5568994	1944	3	965	325	640
БССР	5568994	1944	4	969	326	643
БССР	5568994	1944	5	895	302	593
БССР	5568994	1944	6	4636	1481	3155
БССР	5568994	1944	7	25967	8265	17702
БССР	5568994	1944	8	8952	2874	6078
БССР	5568994	1944	9	4203	1377	2826
БССР	5568994	1944	10	2635	697	1938
БССР	5568994	1944	11	4992	374	4618
БССР	5568994	1944	12	11366	10437	929
БССР	5568994	1945	1	1502	497	1005
БССР	5568994	1945	2	5317	3670	1647
БССР	5568994	1945	3	4972	2011	2961
БССР	5568994	1945	4	2269	879	1390
БССР	5568994	1945	5	1394	443	951
БССР	5568994	1945	6	1082	829	253
БССР	5568994	1945	7	93	47	47
БССР	5568994	1945	8	79	36	43
БССР	5568994	1945	9	319	270	49
БССР	5568994	1945	10	31	18	13
БССР	5568994	1945	11	11	7	4
БССР	5568994	1945	12	25	18	8
