region	population	year	month	count	count_le_21	count_ge_22
ГрузССР	3540023	1939	1	66	49	17
ГрузССР	3540023	1939	2	53	31	22
ГрузССР	3540023	1939	3	18	10	8
ГрузССР	3540023	1939	4	10	9	1
ГрузССР	3540023	1939	5	97	71	26
ГрузССР	3540023	1939	6	19	11	8
ГрузССР	3540023	1939	7	22	17	5
ГрузССР	3540023	1939	8	55	32	23
ГрузССР	3540023	1939	9	437	302	135
ГрузССР	3540023	1939	10	274	210	64
ГрузССР	3540023	1939	11	212	140	72
ГрузССР	3540023	1939	12	105	71	34
ГрузССР	3540023	1940	1	152	79	73
ГрузССР	3540023	1940	2	94	43	51
ГрузССР	3540023	1940	3	40	18	22
ГрузССР	3540023	1940	4	42	32	10
ГрузССР	3540023	1940	5	64	45	19
ГрузССР	3540023	1940	6	55	17	38
ГрузССР	3540023	1940	7	20	12	8
ГрузССР	3540023	1940	8	56	24	32
ГрузССР	3540023	1940	9	248	200	48
ГрузССР	3540023	1940	10	310	271	39
ГрузССР	3540023	1940	11	62	50	12
ГрузССР	3540023	1940	12	58	52	6
ГрузССР	3540023	1941	1	278	163	115
ГрузССР	3540023	1941	2	121	66	55
ГрузССР	3540023	1941	3	162	71	91
ГрузССР	3540023	1941	4	257	114	143
ГрузССР	3540023	1941	5	378	128	250
ГрузССР	3540023	1941	6	5301	315	4986
ГрузССР	3540023	1941	7	1876	323	1553
ГрузССР	3540023	1941	8	2271	433	1838
ГрузССР	3540023	1941	9	2763	322	2441
ГрузССР	3540023	1941	10	888	320	568
ГрузССР	3540023	1941	11	468	225	243
ГрузССР	3540023	1941	12	1061	349	712
ГрузССР	3540023	1942	1	2396	1052	1344
ГрузССР	3540023	1942	2	1508	433	1075
ГрузССР	3540023	1942	3	2665	792	1873
ГрузССР	3540023	1942	4	806	249	557
ГрузССР	3540023	1942	5	606	261	345
ГрузССР	3540023	1942	6	680	259	421
ГрузССР	3540023	1942	7	511	233	278
ГрузССР	3540023	1942	8	2212	1331	881
ГрузССР	3540023	1942	9	3873	3069	804
ГрузССР	3540023	1942	10	818	362	456
ГрузССР	3540023	1942	11	952	395	557
ГрузССР	3540023	1942	12	2399	844	1555
ГрузССР	3540023	1943	1	3787	2243	1544
ГрузССР	3540023	1943	2	719	368	351
ГрузССР	3540023	1943	3	689	283	406
ГрузССР	3540023	1943	4	247	139	108
ГрузССР	3540023	1943	5	276	207	69
ГрузССР	3540023	1943	6	240	98	142
ГрузССР	3540023	1943	7	183	73	110
ГрузССР	3540023	1943	8	203	89	114
ГрузССР	3540023	1943	9	272	106	166
ГрузССР	3540023	1943	10	246	135	111
ГрузССР	3540023	1943	11	504	260	244
ГрузССР	3540023	1943	12	135	56	79
ГрузССР	3540023	1944	1	101	31	70
ГрузССР	3540023	1944	2	100	33	67
ГрузССР	3540023	1944	3	236	59	177
ГрузССР	3540023	1944	4	180	50	130
ГрузССР	3540023	1944	5	75	31	44
ГрузССР	3540023	1944	6	53	18	35
ГрузССР	3540023	1944	7	69	23	46
ГрузССР	3540023	1944	8	106	37	69
ГрузССР	3540023	1944	9	121	47	74
ГрузССР	3540023	1944	10	72	32	40
ГрузССР	3540023	1944	11	69	40	29
ГрузССР	3540023	1944	12	72	40	32
ГрузССР	3540023	1945	1	93	34	59
ГрузССР	3540023	1945	2	90	25	65
ГрузССР	3540023	1945	3	89	30	59
ГрузССР	3540023	1945	4	151	64	87
ГрузССР	3540023	1945	5	232	67	165
ГрузССР	3540023	1945	6	74	19	56
ГрузССР	3540023	1945	7	13	1	12
ГрузССР	3540023	1945	8	20	4	16
ГрузССР	3540023	1945	9	45	39	6
ГрузССР	3540023	1945	10	5	5	0
ГрузССР	3540023	1945	11	29	29	0
ГрузССР	3540023	1945	12	5	5	0
