region	population	year	month	count	count_le_21	count_ge_22
КазССР	6151102	1939	1	61	43	18
КазССР	6151102	1939	2	104	70	34
КазССР	6151102	1939	3	199	80	119
КазССР	6151102	1939	4	46	24	22
КазССР	6151102	1939	5	161	114	47
КазССР	6151102	1939	6	42	27	15
КазССР	6151102	1939	7	22	14	8
КазССР	6151102	1939	8	120	70	50
КазССР	6151102	1939	9	1051	706	345
КазССР	6151102	1939	10	732	517	215
КазССР	6151102	1939	11	446	328	118
КазССР	6151102	1939	12	189	126	63
КазССР	6151102	1940	1	219	113	106
КазССР	6151102	1940	2	305	106	199
КазССР	6151102	1940	3	118	55	63
КазССР	6151102	1940	4	88	55	33
КазССР	6151102	1940	5	299	121	178
КазССР	6151102	1940	6	166	56	110
КазССР	6151102	1940	7	88	46	42
КазССР	6151102	1940	8	131	94	37
КазССР	6151102	1940	9	754	666	88
КазССР	6151102	1940	10	891	804	87
КазССР	6151102	1940	11	164	129	35
КазССР	6151102	1940	12	186	162	24
КазССР	6151102	1941	1	618	246	372
КазССР	6151102	1941	2	323	96	227
КазССР	6151102	1941	3	473	182	291
КазССР	6151102	1941	4	538	245	293
КазССР	6151102	1941	5	836	382	454
КазССР	6151102	1941	6	4940	704	4236
КазССР	6151102	1941	7	7111	420	6691
КазССР	6151102	1941	8	6234	755	5479
КазССР	6151102	1941	9	3222	698	2524
КазССР	6151102	1941	10	2389	601	1788
КазССР	6151102	1941	11	1552	577	975
КазССР	6151102	1941	12	3928	996	2932
КазССР	6151102	1942	1	10743	2461	8282
КазССР	6151102	1942	2	6951	1418	5533
КазССР	6151102	1942	3	10520	3498	7022
КазССР	6151102	1942	4	5774	1513	4261
КазССР	6151102	1942	5	15074	4604	10470
КазССР	6151102	1942	6	16739	3361	13378
КазССР	6151102	1942	7	7152	1377	5775
КазССР	6151102	1942	8	13107	7535	5572
КазССР	6151102	1942	9	10906	5097	5809
КазССР	6151102	1942	10	7774	2488	5286
КазССР	6151102	1942	11	3164	870	2294
КазССР	6151102	1942	12	4174	1297	2877
КазССР	6151102	1943	1	8917	6399	2518
КазССР	6151102	1943	2	6246	3716	2530
КазССР	6151102	1943	3	5673	2610	3063
КазССР	6151102	1943	4	3206	1442	1764
КазССР	6151102	1943	5	3829	1130	2699
КазССР	6151102	1943	6	3288	877	2411
КазССР	6151102	1943	7	1525	386	1139
КазССР	6151102	1943	8	1305	521	784
КазССР	6151102	1943	9	1526	814	712
КазССР	6151102	1943	10	1142	509	633
КазССР	6151102	1943	11	3672	2977	695
КазССР	6151102	1943	12	2284	1701	583
КазССР	6151102	1944	1	3487	2675	812
КазССР	6151102	1944	2	1446	484	962
КазССР	6151102	1944	3	2053	602	1451
КазССР	6151102	1944	4	1146	421	725
КазССР	6151102	1944	5	1157	417	740
КазССР	6151102	1944	6	841	319	522
КазССР	6151102	1944	7	973	308	665
КазССР	6151102	1944	8	1161	394	767
КазССР	6151102	1944	9	1460	439	1021
КазССР	6151102	1944	10	844	317	527
КазССР	6151102	1944	11	2632	2376	256
КазССР	6151102	1944	12	2917	2614	303
КазССР	6151102	1945	1	825	421	404
КазССР	6151102	1945	2	1744	1328	416
КазССР	6151102	1945	3	581	254	327
КазССР	6151102	1945	4	1119	441	678
КазССР	6151102	1945	5	1026	334	692
КазССР	6151102	1945	6	363	115	248
КазССР	6151102	1945	7	79	56	23
КазССР	6151102	1945	8	80	42	38
КазССР	6151102	1945	9	101	66	35
КазССР	6151102	1945	10	27	16	11
КазССР	6151102	1945	11	7	5	2
КазССР	6151102	1945	12	15	13	2
