region	population	year	month	count	count_le_21	count_ge_22
КирССР	1458213	1939	1	23	10	13
КирССР	1458213	1939	2	16	8	8
КирССР	1458213	1939	3	8	3	5
КирССР	1458213	1939	4	18	13	5
КирССР	1458213	1939	5	28	14	14
КирССР	1458213	1939	6	17	12	5
КирССР	1458213	1939	7	5	4	1
КирССР	1458213	1939	8	42	25	17
КирССР	1458213	1939	9	221	153	68
КирССР	1458213	1939	10	161	119	42
КирССР	1458213	1939	11	60	41	19
КирССР	1458213	1939	12	59	39	20
КирССР	1458213	1940	1	72	34	38
КирССР	1458213	1940	2	46	16	30
КирССР	1458213	1940	3	11	6	5
КирССР	1458213	1940	4	14	12	2
КирССР	1458213	1940	5	56	31	25
КирССР	1458213	1940	6	81	17	64
КирССР	1458213	1940	7	18	3	15
КирССР	1458213	1940	8	18	13	5
КирССР	1458213	1940	9	143	130	13
КирССР	1458213	1940	10	162	152	10
КирССР	1458213	1940	11	31	24	7
КирССР	1458213	1940	12	26	19	7
КирССР	1458213	1941	1	94	42	52
КирССР	1458213	1941	2	82	36	46
КирССР	1458213	1941	3	109	50	59
КирССР	1458213	1941	4	121	63	58
КирССР	1458213	1941	5	139	71	68
КирССР	1458213	1941	6	691	112	579
КирССР	1458213	1941	7	765	94	671
КирССР	1458213	1941	8	1270	102	1168
КирССР	1458213	1941	9	856	171	685
КирССР	1458213	1941	10	547	173	374
КирССР	1458213	1941	11	691	145	546
КирССР	1458213	1941	12	917	325	592
КирССР	1458213	1942	1	1428	283	1145
КирССР	1458213	1942	2	1246	283	963
КирССР	1458213	1942	3	2514	762	1752
КирССР	1458213	1942	4	679	177	502
КирССР	1458213	1942	5	1160	210	950
КирССР	1458213	1942	6	1157	304	853
КирССР	1458213	1942	7	1893	463	1430
КирССР	1458213	1942	8	3517	2018	1499
КирССР	1458213	1942	9	4180	1847	2333
КирССР	1458213	1942	10	4616	998	3618
КирССР	1458213	1942	11	1421	316	1105
КирССР	1458213	1942	12	2904	547	2357
КирССР	1458213	1943	1	2566	1085	1481
КирССР	1458213	1943	2	946	584	362
КирССР	1458213	1943	3	1137	527	610
КирССР	1458213	1943	4	1473	460	1013
КирССР	1458213	1943	5	1033	264	769
КирССР	1458213	1943	6	813	145	668
КирССР	1458213	1943	7	629	184	445
КирССР	1458213	1943	8	239	82	157
КирССР	1458213	1943	9	346	141	205
КирССР	1458213	1943	10	169	73	96
КирССР	1458213	1943	11	345	242	103
КирССР	1458213	1943	12	269	188	81
КирССР	1458213	1944	1	530	421	109
КирССР	1458213	1944	2	395	272	123
КирССР	1458213	1944	3	207	98	109
КирССР	1458213	1944	4	271	71	200
КирССР	1458213	1944	5	283	52	231
КирССР	1458213	1944	6	90	30	60
КирССР	1458213	1944	7	188	43	145
КирССР	1458213	1944	8	216	70	146
КирССР	1458213	1944	9	95	34	61
КирССР	1458213	1944	10	33	15	18
КирССР	1458213	1944	11	1264	1259	5
КирССР	1458213	1944	12	757	751	6
КирССР	1458213	1945	1	170	158	12
КирССР	1458213	1945	2	140	72	68
КирССР	1458213	1945	3	131	112	19
КирССР	1458213	1945	4	266	225	41
КирССР	1458213	1945	5	150	53	97
КирССР	1458213	1945	6	61	17	44
КирССР	1458213	1945	7	6	3	3
КирССР	1458213	1945	8	6	3	3
КирССР	1458213	1945	9	10	5	5
КирССР	1458213	1945	10	6	1	5
КирССР	1458213	1945	11	1	1	0
КирССР	1458213	1945	12	3	2	2
