region	population	year	month	count	count_le_21	count_ge_22
Литовская ССР	2550000	1939	1	0	0	0
Литовская ССР	2550000	1939	2	1	0	1
Литовская ССР	2550000	1939	3	3	2	1
Литовская ССР	2550000	1939	4	1	1	0
Литовская ССР	2550000	1939	5	8	4	4
Литовская ССР	2550000	1939	6	1	1	0
Литовская ССР	2550000	1939	7	0	0	0
Литовская ССР	2550000	1939	8	1	1	0
Литовская ССР	2550000	1939	9	12	8	4
Литовская ССР	2550000	1939	10	9	6	3
Литовская ССР	2550000	1939	11	4	3	1
Литовская ССР	2550000	1939	12	3	3	0
Литовская ССР	2550000	1940	1	8	3	5
Литовская ССР	2550000	1940	2	4	1	3
Литовская ССР	2550000	1940	3	25	3	22
Литовская ССР	2550000	1940	4	2	1	1
Литовская ССР	2550000	1940	5	4	2	2
Литовская ССР	2550000	1940	6	3	1	2
Литовская ССР	2550000	1940	7	0	0	0
Литовская ССР	2550000	1940	8	3	1	2
Литовская ССР	2550000	1940	9	11	9	2
Литовская ССР	2550000	1940	10	11	11	0
Литовская ССР	2550000	1940	11	3	3	0
Литовская ССР	2550000	1940	12	1	1	0
Литовская ССР	2550000	1941	1	6	5	1
Литовская ССР	2550000	1941	2	5	3	2
Литовская ССР	2550000	1941	3	5	3	2
Литовская ССР	2550000	1941	4	10	4	6
Литовская ССР	2550000	1941	5	12	4	8
Литовская ССР	2550000	1941	6	138	24	114
Литовская ССР	2550000	1941	7	118	24	94
Литовская ССР	2550000	1941	8	114	20	94
Литовская ССР	2550000	1941	9	76	18	58
Литовская ССР	2550000	1941	10	90	29	61
Литовская ССР	2550000	1941	11	53	30	23
Литовская ССР	2550000	1941	12	53	21	32
Литовская ССР	2550000	1942	1	87	17	70
Литовская ССР	2550000	1942	2	59	15	44
Литовская ССР	2550000	1942	3	57	12	45
Литовская ССР	2550000	1942	4	31	6	25
Литовская ССР	2550000	1942	5	34	8	26
Литовская ССР	2550000	1942	6	39	11	28
Литовская ССР	2550000	1942	7	13	10	3
Литовская ССР	2550000	1942	8	57	38	19
Литовская ССР	2550000	1942	9	39	22	17
Литовская ССР	2550000	1942	10	24	8	16
Литовская ССР	2550000	1942	11	7	7	0
Литовская ССР	2550000	1942	12	16	12	4
Литовская ССР	2550000	1943	1	47	37	10
Литовская ССР	2550000	1943	2	37	19	19
Литовская ССР	2550000	1943	3	31	13	18
Литовская ССР	2550000	1943	4	24	17	7
Литовская ССР	2550000	1943	5	10	8	3
Литовская ССР	2550000	1943	6	9	4	5
Литовская ССР	2550000	1943	7	7	5	2
Литовская ССР	2550000	1943	8	12	11	1
Литовская ССР	2550000	1943	9	31	11	20
Литовская ССР	2550000	1943	10	25	9	16
Литовская ССР	2550000	1943	11	26	24	2
Литовская ССР	2550000	1943	12	9	4	5
Литовская ССР	2550000	1944	1	46	16	30
Литовская ССР	2550000	1944	2	49	13	36
Литовская ССР	2550000	1944	3	89	27	62
Литовская ССР	2550000	1944	4	79	24	55
Литовская ССР	2550000	1944	5	23	8	15
Литовская ССР	2550000	1944	6	77	36	41
Литовская ССР	2550000	1944	7	511	155	356
Литовская ССР	2550000	1944	8	4429	1315	3114
Литовская ССР	2550000	1944	9	3499	1179	2320
Литовская ССР	2550000	1944	10	1573	609	964
Литовская ССР	2550000	1944	11	1302	472	830
Литовская ССР	2550000	1944	12	3035	1020	2015
Литовская ССР	2550000	1945	1	5968	1549	4419
Литовская ССР	2550000	1945	2	6663	1807	4856
Литовская ССР	2550000	1945	3	5370	1504	3866
Литовская ССР	2550000	1945	4	4370	1020	3350
Литовская ССР	2550000	1945	5	1229	233	996
Литовская ССР	2550000	1945	6	105	35	70
Литовская ССР	2550000	1945	7	89	21	68
Литовская ССР	2550000	1945	8	191	48	143
Литовская ССР	2550000	1945	9	198	47	151
Литовская ССР	2550000	1945	10	182	35	147
Литовская ССР	2550000	1945	11	91	16	75
Литовская ССР	2550000	1945	12	137	33	104
