region	population	year	month	count	count_le_21	count_ge_22
РСФСР	109397463	1939	1	949	637	312
РСФСР	109397463	1939	2	1583	916	667
РСФСР	109397463	1939	3	2011	1040	971
РСФСР	109397463	1939	4	1419	944	475
РСФСР	109397463	1939	5	3795	2854	941
РСФСР	109397463	1939	6	1215	718	497
РСФСР	109397463	1939	7	724	481	243
РСФСР	109397463	1939	8	2497	1824	673
РСФСР	109397463	1939	9	20265	15689	4576
РСФСР	109397463	1939	10	12748	10189	2559
РСФСР	109397463	1939	11	6575	5146	1429
РСФСР	109397463	1939	12	2886	2091	795
РСФСР	109397463	1940	1	2833	1560	1273
РСФСР	109397463	1940	2	3761	1796	1965
РСФСР	109397463	1940	3	1789	1030	759
РСФСР	109397463	1940	4	1592	1119	473
РСФСР	109397463	1940	5	4960	3106	1854
РСФСР	109397463	1940	6	7820	2236	5584
РСФСР	109397463	1940	7	2551	1054	1497
РСФСР	109397463	1940	8	3311	2300	1011
РСФСР	109397463	1940	9	17072	15549	1523
РСФСР	109397463	1940	10	19290	17581	1709
РСФСР	109397463	1940	11	3887	3322	565
РСФСР	109397463	1940	12	2935	2475	460
РСФСР	109397463	1941	1	8477	3306	5171
РСФСР	109397463	1941	2	6905	2301	4604
РСФСР	109397463	1941	3	11343	3542	7801
РСФСР	109397463	1941	4	19034	5977	13057
РСФСР	109397463	1941	5	24620	7544	17076
РСФСР	109397463	1941	6	209884	17966	191918
РСФСР	109397463	1941	7	186280	28221	158059
РСФСР	109397463	1941	8	180037	19750	160287
РСФСР	109397463	1941	9	131250	31434	99816
РСФСР	109397463	1941	10	125721	40759	84962
РСФСР	109397463	1941	11	75932	35582	40350
РСФСР	109397463	1941	12	73226	21331	51895
РСФСР	109397463	1942	1	115827	24914	90913
РСФСР	109397463	1942	2	107263	36963	70300
РСФСР	109397463	1942	3	125432	40590	84842
РСФСР	109397463	1942	4	74199	23247	50952
РСФСР	109397463	1942	5	94159	31882	62277
РСФСР	109397463	1942	6	78410	27004	51406
РСФСР	109397463	1942	7	58486	24582	33904
РСФСР	109397463	1942	8	165740	120443	45297
РСФСР	109397463	1942	9	70321	38304	32017
РСФСР	109397463	1942	10	58602	27719	30883
РСФСР	109397463	1942	11	44910	17398	27512
РСФСР	109397463	1942	12	92374	36211	56163
РСФСР	109397463	1943	1	159545	139139	20406
РСФСР	109397463	1943	2	70197	37478	32719
РСФСР	109397463	1943	3	72437	38747	33690
РСФСР	109397463	1943	4	62724	35489	27235
РСФСР	109397463	1943	5	46328	22640	23688
РСФСР	109397463	1943	6	60386	22916	37470
РСФСР	109397463	1943	7	28531	11221	17310
РСФСР	109397463	1943	8	42643	20132	22511
РСФСР	109397463	1943	9	43925	18211	25714
РСФСР	109397463	1943	10	44535	23038	21497
РСФСР	109397463	1943	11	132945	120076	12869
РСФСР	109397463	1943	12	43239	28793	14446
РСФСР	109397463	1944	1	33391	17938	15453
РСФСР	109397463	1944	2	37030	18174	18856
РСФСР	109397463	1944	3	76144	38963	37181
РСФСР	109397463	1944	4	40216	17526	22690
РСФСР	109397463	1944	5	32428	15458	16970
РСФСР	109397463	1944	6	31053	14915	16138
РСФСР	109397463	1944	7	27145	12112	15033
РСФСР	109397463	1944	8	25429	11128	14301
РСФСР	109397463	1944	9	26282	10100	16182
РСФСР	109397463	1944	10	24790	12673	12117
РСФСР	109397463	1944	11	71189	62077	9112
РСФСР	109397463	1944	12	59716	49678	10038
РСФСР	109397463	1945	1	24240	13882	10358
РСФСР	109397463	1945	2	23955	11805	12150
РСФСР	109397463	1945	3	26682	13845	12837
РСФСР	109397463	1945	4	28865	13607	15258
РСФСР	109397463	1945	5	28421	12582	15839
РСФСР	109397463	1945	6	9528	4496	5032
РСФСР	109397463	1945	7	4629	3507	1122
РСФСР	109397463	1945	8	7545	4652	2893
РСФСР	109397463	1945	9	7463	5935	1528
РСФСР	109397463	1945	10	3964	3266	698
РСФСР	109397463	1945	11	3950	3514	436
РСФСР	109397463	1945	12	3784	3562	222
