region	population	year	month	count	count_le_21	count_ge_22
ТаджССР	1484440	1939	1	19	13	6
ТаджССР	1484440	1939	2	29	15	14
ТаджССР	1484440	1939	3	19	11	8
ТаджССР	1484440	1939	4	2	2	0
ТаджССР	1484440	1939	5	21	18	3
ТаджССР	1484440	1939	6	10	3	7
ТаджССР	1484440	1939	7	10	7	3
ТаджССР	1484440	1939	8	18	9	9
ТаджССР	1484440	1939	9	183	107	76
ТаджССР	1484440	1939	10	101	59	42
ТаджССР	1484440	1939	11	85	59	26
ТаджССР	1484440	1939	12	23	15	8
ТаджССР	1484440	1940	1	63	33	30
ТаджССР	1484440	1940	2	98	37	61
ТаджССР	1484440	1940	3	30	13	17
ТаджССР	1484440	1940	4	10	5	5
ТаджССР	1484440	1940	5	32	16	16
ТаджССР	1484440	1940	6	33	5	28
ТаджССР	1484440	1940	7	6	4	2
ТаджССР	1484440	1940	8	15	8	7
ТаджССР	1484440	1940	9	110	97	13
ТаджССР	1484440	1940	10	115	103	12
ТаджССР	1484440	1940	11	22	16	6
ТаджССР	1484440	1940	12	28	21	7
ТаджССР	1484440	1941	1	77	30	47
ТаджССР	1484440	1941	2	50	21	29
ТаджССР	1484440	1941	3	76	25	51
ТаджССР	1484440	1941	4	83	44	39
ТаджССР	1484440	1941	5	117	63	54
ТаджССР	1484440	1941	6	628	111	517
ТаджССР	1484440	1941	7	491	73	418
ТаджССР	1484440	1941	8	885	89	796
ТаджССР	1484440	1941	9	594	110	484
ТаджССР	1484440	1941	10	358	105	253
ТаджССР	1484440	1941	11	301	105	196
ТаджССР	1484440	1941	12	1281	667	614
ТаджССР	1484440	1942	1	636	161	475
ТаджССР	1484440	1942	2	571	150	421
ТаджССР	1484440	1942	3	632	151	481
ТаджССР	1484440	1942	4	262	99	163
ТаджССР	1484440	1942	5	444	155	289
ТаджССР	1484440	1942	6	496	149	347
ТаджССР	1484440	1942	7	586	176	410
ТаджССР	1484440	1942	8	962	645	317
ТаджССР	1484440	1942	9	2114	1570	544
ТаджССР	1484440	1942	10	1399	677	722
ТаджССР	1484440	1942	11	450	182	268
ТаджССР	1484440	1942	12	655	268	387
ТаджССР	1484440	1943	1	1315	636	679
ТаджССР	1484440	1943	2	845	423	422
ТаджССР	1484440	1943	3	7509	1755	5754
ТаджССР	1484440	1943	4	4061	783	3278
ТаджССР	1484440	1943	5	3146	530	2616
ТаджССР	1484440	1943	6	3510	519	2991
ТаджССР	1484440	1943	7	483	103	380
ТаджССР	1484440	1943	8	284	94	190
ТаджССР	1484440	1943	9	549	263	286
ТаджССР	1484440	1943	10	260	96	164
ТаджССР	1484440	1943	11	231	167	64
ТаджССР	1484440	1943	12	182	93	89
ТаджССР	1484440	1944	1	96	39	57
ТаджССР	1484440	1944	2	60	38	22
ТаджССР	1484440	1944	3	146	60	86
ТаджССР	1484440	1944	4	128	43	85
ТаджССР	1484440	1944	5	50	14	36
ТаджССР	1484440	1944	6	73	23	50
ТаджССР	1484440	1944	7	80	20	60
ТаджССР	1484440	1944	8	73	25	48
ТаджССР	1484440	1944	9	53	15	38
ТаджССР	1484440	1944	10	34	17	17
ТаджССР	1484440	1944	11	906	900	6
ТаджССР	1484440	1944	12	563	557	6
ТаджССР	1484440	1945	1	522	510	12
ТаджССР	1484440	1945	2	121	93	28
ТаджССР	1484440	1945	3	43	32	11
ТаджССР	1484440	1945	4	65	21	44
ТаджССР	1484440	1945	5	119	27	92
ТаджССР	1484440	1945	6	46	12	34
ТаджССР	1484440	1945	7	2	2	0
ТаджССР	1484440	1945	8	6	5	1
ТаджССР	1484440	1945	9	7	5	2
ТаджССР	1484440	1945	10	3	2	2
ТаджССР	1484440	1945	11	3	3	0
ТаджССР	1484440	1945	12	5	4	1
