region	population	year	month	count	count_le_21	count_ge_22
ТуркССР	1251883	1939	1	8	7	1
ТуркССР	1251883	1939	2	13	12	1
ТуркССР	1251883	1939	3	5	1	4
ТуркССР	1251883	1939	4	5	5	0
ТуркССР	1251883	1939	5	11	6	5
ТуркССР	1251883	1939	6	3	2	1
ТуркССР	1251883	1939	7	3	2	1
ТуркССР	1251883	1939	8	10	8	2
ТуркССР	1251883	1939	9	128	89	39
ТуркССР	1251883	1939	10	134	96	38
ТуркССР	1251883	1939	11	71	48	23
ТуркССР	1251883	1939	12	15	9	6
ТуркССР	1251883	1940	1	78	33	45
ТуркССР	1251883	1940	2	66	32	34
ТуркССР	1251883	1940	3	13	5	8
ТуркССР	1251883	1940	4	11	7	4
ТуркССР	1251883	1940	5	24	10	14
ТуркССР	1251883	1940	6	17	9	8
ТуркССР	1251883	1940	7	10	8	2
ТуркССР	1251883	1940	8	21	13	8
ТуркССР	1251883	1940	9	123	111	12
ТуркССР	1251883	1940	10	124	107	17
ТуркССР	1251883	1940	11	22	19	3
ТуркССР	1251883	1940	12	21	20	1
ТуркССР	1251883	1941	1	59	22	37
ТуркССР	1251883	1941	2	51	28	23
ТуркССР	1251883	1941	3	49	19	30
ТуркССР	1251883	1941	4	78	38	40
ТуркССР	1251883	1941	5	141	37	104
ТуркССР	1251883	1941	6	425	49	376
ТуркССР	1251883	1941	7	384	52	332
ТуркССР	1251883	1941	8	894	61	833
ТуркССР	1251883	1941	9	443	78	365
ТуркССР	1251883	1941	10	302	80	222
ТуркССР	1251883	1941	11	233	84	149
ТуркССР	1251883	1941	12	734	295	439
ТуркССР	1251883	1942	1	649	137	512
ТуркССР	1251883	1942	2	1204	177	1027
ТуркССР	1251883	1942	3	2466	428	2038
ТуркССР	1251883	1942	4	218	90	128
ТуркССР	1251883	1942	5	452	171	281
ТуркССР	1251883	1942	6	365	84	281
ТуркССР	1251883	1942	7	462	107	355
ТуркССР	1251883	1942	8	591	321	270
ТуркССР	1251883	1942	9	1070	776	294
ТуркССР	1251883	1942	10	625	296	329
ТуркССР	1251883	1942	11	401	222	179
ТуркССР	1251883	1942	12	551	238	313
ТуркССР	1251883	1943	1	1192	486	706
ТуркССР	1251883	1943	2	796	454	342
ТуркССР	1251883	1943	3	7016	1189	5827
ТуркССР	1251883	1943	4	1817	307	1510
ТуркССР	1251883	1943	5	2926	381	2545
ТуркССР	1251883	1943	6	341	104	237
ТуркССР	1251883	1943	7	166	56	110
ТуркССР	1251883	1943	8	307	141	166
ТуркССР	1251883	1943	9	668	445	223
ТуркССР	1251883	1943	10	341	151	190
ТуркССР	1251883	1943	11	231	175	56
ТуркССР	1251883	1943	12	139	68	71
ТуркССР	1251883	1944	1	50	24	26
ТуркССР	1251883	1944	2	36	25	11
ТуркССР	1251883	1944	3	81	22	59
ТуркССР	1251883	1944	4	109	33	76
ТуркССР	1251883	1944	5	81	17	64
ТуркССР	1251883	1944	6	49	16	33
ТуркССР	1251883	1944	7	48	16	32
ТуркССР	1251883	1944	8	40	7	33
ТуркССР	1251883	1944	9	30	13	17
ТуркССР	1251883	1944	10	18	6	12
ТуркССР	1251883	1944	11	699	698	1
ТуркССР	1251883	1944	12	254	242	12
ТуркССР	1251883	1945	1	163	159	4
ТуркССР	1251883	1945	2	450	430	20
ТуркССР	1251883	1945	3	48	44	4
ТуркССР	1251883	1945	4	72	43	29
ТуркССР	1251883	1945	5	107	30	77
ТуркССР	1251883	1945	6	30	6	24
ТуркССР	1251883	1945	7	4	1	3
ТуркССР	1251883	1945	8	7	3	4
ТуркССР	1251883	1945	9	2	2	0
ТуркССР	1251883	1945	10	2	2	0
ТуркССР	1251883	1945	11	2	2	0
ТуркССР	1251883	1945	12	2	2	0
