region	population	year	month	count	count_le_21	count_ge_22
УССР	30946218	1939	1	220	169	51
УССР	30946218	1939	2	237	167	70
УССР	30946218	1939	3	482	257	225
УССР	30946218	1939	4	267	177	90
УССР	30946218	1939	5	1298	1004	294
УССР	30946218	1939	6	256	152	104
УССР	30946218	1939	7	176	126	50
УССР	30946218	1939	8	605	464	141
УССР	30946218	1939	9	4026	3106	920
УССР	30946218	1939	10	3260	2691	569
УССР	30946218	1939	11	1753	1419	334
УССР	30946218	1939	12	1554	1216	338
УССР	30946218	1940	1	802	457	345
УССР	30946218	1940	2	700	361	339
УССР	30946218	1940	3	426	235	191
УССР	30946218	1940	4	428	277	151
УССР	30946218	1940	5	1371	965	406
УССР	30946218	1940	6	1000	367	633
УССР	30946218	1940	7	432	186	246
УССР	30946218	1940	8	789	568	221
УССР	30946218	1940	9	4093	3738	355
УССР	30946218	1940	10	4069	3660	409
УССР	30946218	1940	11	1409	1205	204
УССР	30946218	1940	12	601	494	107
УССР	30946218	1941	1	1069	541	528
УССР	30946218	1941	2	697	259	438
УССР	30946218	1941	3	1672	671	1001
УССР	30946218	1941	4	2482	965	1517
УССР	30946218	1941	5	5107	1655	3452
УССР	30946218	1941	6	29715	3848	25867
УССР	30946218	1941	7	23605	4077	19528
УССР	30946218	1941	8	28438	7641	20797
УССР	30946218	1941	9	13341	3577	9764
УССР	30946218	1941	10	12310	3949	8361
УССР	30946218	1941	11	3882	1539	2343
УССР	30946218	1941	12	2607	798	1809
УССР	30946218	1942	1	3150	751	2399
УССР	30946218	1942	2	3214	911	2303
УССР	30946218	1942	3	3574	950	2624
УССР	30946218	1942	4	1656	521	1135
УССР	30946218	1942	5	2140	722	1418
УССР	30946218	1942	6	2391	707	1684
УССР	30946218	1942	7	1527	578	949
УССР	30946218	1942	8	2666	1527	1139
УССР	30946218	1942	9	2132	1074	1058
УССР	30946218	1942	10	1442	531	911
УССР	30946218	1942	11	938	356	582
УССР	30946218	1942	12	1297	508	789
УССР	30946218	1943	1	3210	1889	1321
УССР	30946218	1943	2	7895	4184	3711
УССР	30946218	1943	3	5296	2305	2991
УССР	30946218	1943	4	3089	1785	1304
УССР	30946218	1943	5	2166	1167	999
УССР	30946218	1943	6	2001	952	1049
УССР	30946218	1943	7	2321	981	1340
УССР	30946218	1943	8	8942	3545	5397
УССР	30946218	1943	9	48498	21257	27241
УССР	30946218	1943	10	38030	12991	25039
УССР	30946218	1943	11	16180	7355	8825
УССР	30946218	1943	12	14369	5105	9264
УССР	30946218	1944	1	28824	5223	23601
УССР	30946218	1944	2	18914	6196	12718
УССР	30946218	1944	3	88263	17909	70354
УССР	30946218	1944	4	81442	24832	56610
УССР	30946218	1944	5	41840	11774	30066
УССР	30946218	1944	6	11100	3855	7245
УССР	30946218	1944	7	7377	1676	5701
УССР	30946218	1944	8	8984	2404	6580
УССР	30946218	1944	9	13219	5122	8097
УССР	30946218	1944	10	9196	3128	6068
УССР	30946218	1944	11	15600	9349	6251
УССР	30946218	1944	12	8907	6771	2136
УССР	30946218	1945	1	3994	1982	2012
УССР	30946218	1945	2	3126	1458	1668
УССР	30946218	1945	3	3904	1690	2214
УССР	30946218	1945	4	4060	1665	2395
УССР	30946218	1945	5	7001	2931	4070
УССР	30946218	1945	6	2404	990	1414
УССР	30946218	1945	7	398	205	193
УССР	30946218	1945	8	431	179	252
УССР	30946218	1945	9	373	213	160
УССР	30946218	1945	10	353	256	97
УССР	30946218	1945	11	129	96	33
УССР	30946218	1945	12	155	116	39
