region	population	year	month	count	count_le_21	count_ge_22
УзССР	6271269	1939	1	86	56	30
УзССР	6271269	1939	2	67	42	25
УзССР	6271269	1939	3	54	35	19
УзССР	6271269	1939	4	39	24	15
УзССР	6271269	1939	5	95	66	29
УзССР	6271269	1939	6	48	25	23
УзССР	6271269	1939	7	25	16	9
УзССР	6271269	1939	8	73	51	22
УзССР	6271269	1939	9	864	589	275
УзССР	6271269	1939	10	487	335	152
УзССР	6271269	1939	11	356	246	110
УзССР	6271269	1939	12	150	86	64
УзССР	6271269	1940	1	330	140	190
УзССР	6271269	1940	2	210	75	135
УзССР	6271269	1940	3	60	27	33
УзССР	6271269	1940	4	62	42	20
УзССР	6271269	1940	5	150	57	93
УзССР	6271269	1940	6	185	39	146
УзССР	6271269	1940	7	61	18	43
УзССР	6271269	1940	8	85	45	40
УзССР	6271269	1940	9	451	382	69
УзССР	6271269	1940	10	435	381	54
УзССР	6271269	1940	11	69	49	20
УзССР	6271269	1940	12	84	64	20
УзССР	6271269	1941	1	371	163	208
УзССР	6271269	1941	2	231	89	142
УзССР	6271269	1941	3	353	128	225
УзССР	6271269	1941	4	425	206	219
УзССР	6271269	1941	5	602	268	334
УзССР	6271269	1941	6	2677	501	2176
УзССР	6271269	1941	7	2261	410	1851
УзССР	6271269	1941	8	4226	472	3754
УзССР	6271269	1941	9	2125	503	1622
УзССР	6271269	1941	10	1606	441	1165
УзССР	6271269	1941	11	1095	421	674
УзССР	6271269	1941	12	3971	1615	2356
УзССР	6271269	1942	1	3927	947	2980
УзССР	6271269	1942	2	2712	639	2073
УзССР	6271269	1942	3	4863	872	3991
УзССР	6271269	1942	4	1304	388	916
УзССР	6271269	1942	5	5197	2900	2297
УзССР	6271269	1942	6	15564	6232	9332
УзССР	6271269	1942	7	5365	1474	3891
УзССР	6271269	1942	8	5290	2811	2479
УзССР	6271269	1942	9	8408	4096	4312
УзССР	6271269	1942	10	5595	1839	3756
УзССР	6271269	1942	11	3713	1806	1907
УзССР	6271269	1942	12	2966	989	1977
УзССР	6271269	1943	1	3929	2348	1581
УзССР	6271269	1943	2	3290	1839	1451
УзССР	6271269	1943	3	27632	2606	25026
УзССР	6271269	1943	4	18363	2292	16071
УзССР	6271269	1943	5	13838	1449	12389
УзССР	6271269	1943	6	2194	470	1724
УзССР	6271269	1943	7	1247	252	995
УзССР	6271269	1943	8	1228	472	756
УзССР	6271269	1943	9	2173	990	1183
УзССР	6271269	1943	10	1405	323	1082
УзССР	6271269	1943	11	873	586	287
УзССР	6271269	1943	12	1329	1015	314
УзССР	6271269	1944	1	843	598	245
УзССР	6271269	1944	2	980	252	728
УзССР	6271269	1944	3	1463	390	1073
УзССР	6271269	1944	4	632	183	449
УзССР	6271269	1944	5	398	111	287
УзССР	6271269	1944	6	398	108	290
УзССР	6271269	1944	7	354	72	282
УзССР	6271269	1944	8	278	88	190
УзССР	6271269	1944	9	378	119	259
УзССР	6271269	1944	10	156	60	96
УзССР	6271269	1944	11	780	720	60
УзССР	6271269	1944	12	674	617	57
УзССР	6271269	1945	1	390	337	53
УзССР	6271269	1945	2	752	627	125
УзССР	6271269	1945	3	438	357	81
УзССР	6271269	1945	4	550	373	177
УзССР	6271269	1945	5	605	183	422
УзССР	6271269	1945	6	343	172	171
УзССР	6271269	1945	7	85	73	12
УзССР	6271269	1945	8	66	44	22
УзССР	6271269	1945	9	49	20	29
УзССР	6271269	1945	10	20	14	6
УзССР	6271269	1945	11	6	6	0
УзССР	6271269	1945	12	11	9	2
