region	population	year	month	count	count_le_21	count_ge_22
Эстонская ССР	1126413	1939	1	0	0	0
Эстонская ССР	1126413	1939	2	0	0	0
Эстонская ССР	1126413	1939	3	9	8	1
Эстонская ССР	1126413	1939	4	5	5	0
Эстонская ССР	1126413	1939	5	0	0	0
Эстонская ССР	1126413	1939	6	1	0	1
Эстонская ССР	1126413	1939	7	3	3	0
Эстонская ССР	1126413	1939	8	0	0	0
Эстонская ССР	1126413	1939	9	4	4	0
Эстонская ССР	1126413	1939	10	14	12	2
Эстонская ССР	1126413	1939	11	0	0	0
Эстонская ССР	1126413	1939	12	0	0	0
Эстонская ССР	1126413	1940	1	1	0	1
Эстонская ССР	1126413	1940	2	2	2	0
Эстонская ССР	1126413	1940	3	2	2	0
Эстонская ССР	1126413	1940	4	11	11	0
Эстонская ССР	1126413	1940	5	3	3	0
Эстонская ССР	1126413	1940	6	2	0	2
Эстонская ССР	1126413	1940	7	2	1	1
Эстонская ССР	1126413	1940	8	1	0	1
Эстонская ССР	1126413	1940	9	12	5	7
Эстонская ССР	1126413	1940	10	5	2	3
Эстонская ССР	1126413	1940	11	2	0	2
Эстонская ССР	1126413	1940	12	2	1	1
Эстонская ССР	1126413	1941	1	6	2	4
Эстонская ССР	1126413	1941	2	10	5	5
Эстонская ССР	1126413	1941	3	8	5	3
Эстонская ССР	1126413	1941	4	7	4	3
Эстонская ССР	1126413	1941	5	20	6	14
Эстонская ССР	1126413	1941	6	202	53	149
Эстонская ССР	1126413	1941	7	803	267	536
Эстонская ССР	1126413	1941	8	191	30	161
Эстонская ССР	1126413	1941	9	21	7	14
Эстонская ССР	1126413	1941	10	21	9	12
Эстонская ССР	1126413	1941	11	22	11	11
Эстонская ССР	1126413	1941	12	9	5	4
Эстонская ССР	1126413	1942	1	19	6	13
Эстонская ССР	1126413	1942	2	25	1	24
Эстонская ССР	1126413	1942	3	11	2	9
Эстонская ССР	1126413	1942	4	6	2	4
Эстонская ССР	1126413	1942	5	4	1	3
Эстонская ССР	1126413	1942	6	10	2	8
Эстонская ССР	1126413	1942	7	22	3	19
Эстонская ССР	1126413	1942	8	8	7	1
Эстонская ССР	1126413	1942	9	8	4	4
Эстонская ССР	1126413	1942	10	8	0	8
Эстонская ССР	1126413	1942	11	10	1	9
Эстонская ССР	1126413	1942	12	23	6	17
Эстонская ССР	1126413	1943	1	17	5	12
Эстонская ССР	1126413	1943	2	2	2	0
Эстонская ССР	1126413	1943	3	5	1	4
Эстонская ССР	1126413	1943	4	5	3	2
Эстонская ССР	1126413	1943	5	5	1	4
Эстонская ССР	1126413	1943	6	4	1	3
Эстонская ССР	1126413	1943	7	4	0	4
Эстонская ССР	1126413	1943	8	4	1	3
Эстонская ССР	1126413	1943	9	6	2	5
Эстонская ССР	1126413	1943	10	2	0	2
Эстонская ССР	1126413	1943	11	6	6	0
Эстонская ССР	1126413	1943	12	1	1	0
Эстонская ССР	1126413	1944	1	40	20	20
Эстонская ССР	1126413	1944	2	22	9	13
Эстонская ССР	1126413	1944	3	12	1	11
Эстонская ССР	1126413	1944	4	18	7	11
Эстонская ССР	1126413	1944	5	5	2	3
Эстонская ССР	1126413	1944	6	6	1	5
Эстонская ССР	1126413	1944	7	11	4	7
Эстонская ССР	1126413	1944	8	1046	573	473
Эстонская ССР	1126413	1944	9	576	257	319
Эстонская ССР	1126413	1944	10	985	430	555
Эстонская ССР	1126413	1944	11	1819	826	993
Эстонская ССР	1126413	1944	12	585	188	397
Эстонская ССР	1126413	1945	1	143	53	90
Эстонская ССР	1126413	1945	2	6	0	6
Эстонская ССР	1126413	1945	3	33	4	29
Эстонская ССР	1126413	1945	4	94	19	75
Эстонская ССР	1126413	1945	5	86	27	59
Эстонская ССР	1126413	1945	6	20	4	16
Эстонская ССР	1126413	1945	7	7	4	3
Эстонская ССР	1126413	1945	8	7	2	5
Эстонская ССР	1126413	1945	9	9	6	3
Эстонская ССР	1126413	1945	10	2	1	1
Эстонская ССР	1126413	1945	11	0	0	0
Эстонская ССР	1126413	1945	12	0	0	0
