region	population	year	month_range	count	count_le_21	count_ge_22
АзССР	3205150	1939	1 - 3	182	99	83
АзССР	3205150	1939	4 - 6	134	80	54
АзССР	3205150	1939	7 - 9	628	342	286
АзССР	3205150	1939	10 - 12	580	371	209
АзССР	3205150	1940	1 - 3	342	182	160
АзССР	3205150	1940	4 - 6	194	110	84
АзССР	3205150	1940	7 - 9	422	287	135
АзССР	3205150	1940	10 - 12	392	331	61
АзССР	3205150	1941	1 - 3	918	434	484
АзССР	3205150	1941	4 - 6	5263	532	4731
АзССР	3205150	1941	7 - 9	8367	1262	7105
АзССР	3205150	1941	10 - 12	3311	1062	2249
АзССР	3205150	1942	1 - 3	11266	3089	8177
АзССР	3205150	1942	4 - 6	3344	880	2464
АзССР	3205150	1942	7 - 9	5895	3582	2313
АзССР	3205150	1942	10 - 12	7446	3343	4103
АзССР	3205150	1943	1 - 3	16260	11085	5175
АзССР	3205150	1943	4 - 6	2104	983	1121
АзССР	3205150	1943	7 - 9	920	423	497
АзССР	3205150	1943	10 - 12	774	449	325
АзССР	3205150	1944	1 - 3	435	175	260
АзССР	3205150	1944	4 - 6	407	124	283
АзССР	3205150	1944	7 - 9	319	103	216
АзССР	3205150	1944	10 - 12	241	133	108
АзССР	3205150	1945	1 - 3	332	140	192
АзССР	3205150	1945	4 - 6	471	94	377
АзССР	3205150	1945	7 - 9	51	12	39
АзССР	3205150	1945	10 - 12	15	11	4
