region	population	year	month_range	count	count_le_21	count_ge_22
АрССР	1282338	1939	1 - 3	70	50	20
АрССР	1282338	1939	4 - 6	56	42	14
АрССР	1282338	1939	7 - 9	188	144	44
АрССР	1282338	1939	10 - 12	223	148	75
АрССР	1282338	1940	1 - 3	116	67	49
АрССР	1282338	1940	4 - 6	48	31	17
АрССР	1282338	1940	7 - 9	153	125	28
АрССР	1282338	1940	10 - 12	185	162	23
АрССР	1282338	1941	1 - 3	299	142	157
АрССР	1282338	1941	4 - 6	3486	207	3279
АрССР	1282338	1941	7 - 9	3267	580	2687
АрССР	1282338	1941	10 - 12	1471	566	905
АрССР	1282338	1942	1 - 3	3305	911	2394
АрССР	1282338	1942	4 - 6	980	400	580
АрССР	1282338	1942	7 - 9	3952	2949	1003
АрССР	1282338	1942	10 - 12	2359	1286	1073
АрССР	1282338	1943	1 - 3	2477	1739	738
АрССР	1282338	1943	4 - 6	490	287	203
АрССР	1282338	1943	7 - 9	317	193	124
АрССР	1282338	1943	10 - 12	357	280	77
АрССР	1282338	1944	1 - 3	110	39	71
АрССР	1282338	1944	4 - 6	120	41	79
АрССР	1282338	1944	7 - 9	143	69	74
АрССР	1282338	1944	10 - 12	100	85	15
АрССР	1282338	1945	1 - 3	121	74	47
АрССР	1282338	1945	4 - 6	338	160	178
АрССР	1282338	1945	7 - 9	32	16	16
АрССР	1282338	1945	10 - 12	11	10	1
