region	population	year	month_range	count	count_le_21	count_ge_22
БССР	5568994	1939	1 - 3	143	90	53
БССР	5568994	1939	4 - 6	266	203	63
БССР	5568994	1939	7 - 9	957	727	230
БССР	5568994	1939	10 - 12	1260	956	304
БССР	5568994	1940	1 - 3	352	189	163
БССР	5568994	1940	4 - 6	507	361	146
БССР	5568994	1940	7 - 9	1409	1203	206
БССР	5568994	1940	10 - 12	2008	1698	310
БССР	5568994	1941	1 - 3	503	205	298
БССР	5568994	1941	4 - 6	7571	1261	6310
БССР	5568994	1941	7 - 9	8391	2598	5793
БССР	5568994	1941	10 - 12	2052	808	1244
БССР	5568994	1942	1 - 3	1556	408	1148
БССР	5568994	1942	4 - 6	1138	366	772
БССР	5568994	1942	7 - 9	1475	789	686
БССР	5568994	1942	10 - 12	786	301	485
БССР	5568994	1943	1 - 3	1203	699	504
БССР	5568994	1943	4 - 6	824	415	409
БССР	5568994	1943	7 - 9	1932	796	1136
БССР	5568994	1943	10 - 12	12299	5764	6535
БССР	5568994	1944	1 - 3	2883	1139	1744
БССР	5568994	1944	4 - 6	6500	2109	4391
БССР	5568994	1944	7 - 9	39122	12517	26605
БССР	5568994	1944	10 - 12	18993	11509	7484
БССР	5568994	1945	1 - 3	11791	6178	5613
БССР	5568994	1945	4 - 6	4745	2151	2594
БССР	5568994	1945	7 - 9	491	352	139
БССР	5568994	1945	10 - 12	67	42	25
