region	population	year	month_range	count	count_le_21	count_ge_22
ГрузССР	3540023	1939	1 - 3	137	90	47
ГрузССР	3540023	1939	4 - 6	126	91	35
ГрузССР	3540023	1939	7 - 9	514	351	163
ГрузССР	3540023	1939	10 - 12	591	420	171
ГрузССР	3540023	1940	1 - 3	286	140	146
ГрузССР	3540023	1940	4 - 6	161	94	67
ГрузССР	3540023	1940	7 - 9	324	236	88
ГрузССР	3540023	1940	10 - 12	430	373	57
ГрузССР	3540023	1941	1 - 3	561	300	261
ГрузССР	3540023	1941	4 - 6	5936	556	5380
ГрузССР	3540023	1941	7 - 9	6910	1077	5833
ГрузССР	3540023	1941	10 - 12	2417	893	1524
ГрузССР	3540023	1942	1 - 3	6569	2277	4292
ГрузССР	3540023	1942	4 - 6	2092	769	1323
ГрузССР	3540023	1942	7 - 9	6596	4632	1964
ГрузССР	3540023	1942	10 - 12	4169	1601	2568
ГрузССР	3540023	1943	1 - 3	5195	2893	2302
ГрузССР	3540023	1943	4 - 6	763	444	319
ГрузССР	3540023	1943	7 - 9	658	268	390
ГрузССР	3540023	1943	10 - 12	885	450	435
ГрузССР	3540023	1944	1 - 3	437	123	314
ГрузССР	3540023	1944	4 - 6	308	99	209
ГрузССР	3540023	1944	7 - 9	296	107	189
ГрузССР	3540023	1944	10 - 12	213	112	101
ГрузССР	3540023	1945	1 - 3	272	89	183
ГрузССР	3540023	1945	4 - 6	457	150	307
ГрузССР	3540023	1945	7 - 9	78	45	33
ГрузССР	3540023	1945	10 - 12	39	39	0
