region	population	year	month_range	count	count_le_21	count_ge_22
КазССР	6151102	1939	1 - 3	364	193	171
КазССР	6151102	1939	4 - 6	249	165	84
КазССР	6151102	1939	7 - 9	1193	789	404
КазССР	6151102	1939	10 - 12	1367	970	397
КазССР	6151102	1940	1 - 3	642	274	368
КазССР	6151102	1940	4 - 6	553	233	320
КазССР	6151102	1940	7 - 9	973	806	167
КазССР	6151102	1940	10 - 12	1241	1094	147
КазССР	6151102	1941	1 - 3	1414	524	890
КазССР	6151102	1941	4 - 6	6314	1331	4983
КазССР	6151102	1941	7 - 9	16567	1872	14695
КазССР	6151102	1941	10 - 12	7869	2174	5695
КазССР	6151102	1942	1 - 3	28214	7377	20837
КазССР	6151102	1942	4 - 6	37587	9478	28109
КазССР	6151102	1942	7 - 9	31165	14010	17155
КазССР	6151102	1942	10 - 12	15112	4656	10456
КазССР	6151102	1943	1 - 3	20836	12725	8111
КазССР	6151102	1943	4 - 6	10323	3449	6874
КазССР	6151102	1943	7 - 9	4356	1721	2635
КазССР	6151102	1943	10 - 12	7098	5188	1910
КазССР	6151102	1944	1 - 3	6986	3761	3225
КазССР	6151102	1944	4 - 6	3144	1158	1986
КазССР	6151102	1944	7 - 9	3594	1141	2453
КазССР	6151102	1944	10 - 12	6393	5306	1087
КазССР	6151102	1945	1 - 3	3150	2003	1147
КазССР	6151102	1945	4 - 6	2508	889	1619
КазССР	6151102	1945	7 - 9	260	164	96
КазССР	6151102	1945	10 - 12	49	34	15
