region	population	year	month_range	count	count_le_21	count_ge_22
КирССР	1458213	1939	1 - 3	47	21	26
КирССР	1458213	1939	4 - 6	63	39	24
КирССР	1458213	1939	7 - 9	268	182	86
КирССР	1458213	1939	10 - 12	280	199	81
КирССР	1458213	1940	1 - 3	129	56	73
КирССР	1458213	1940	4 - 6	151	60	91
КирССР	1458213	1940	7 - 9	179	146	33
КирССР	1458213	1940	10 - 12	219	195	24
КирССР	1458213	1941	1 - 3	285	128	157
КирССР	1458213	1941	4 - 6	951	246	705
КирССР	1458213	1941	7 - 9	2891	367	2524
КирССР	1458213	1941	10 - 12	2155	643	1512
КирССР	1458213	1942	1 - 3	5188	1328	3860
КирССР	1458213	1942	4 - 6	2996	691	2305
КирССР	1458213	1942	7 - 9	9590	4328	5262
КирССР	1458213	1942	10 - 12	8941	1861	7080
КирССР	1458213	1943	1 - 3	4649	2196	2453
КирССР	1458213	1943	4 - 6	3319	868	2451
КирССР	1458213	1943	7 - 9	1214	407	807
КирССР	1458213	1943	10 - 12	783	503	280
КирССР	1458213	1944	1 - 3	1132	791	341
КирССР	1458213	1944	4 - 6	644	153	491
КирССР	1458213	1944	7 - 9	499	147	352
КирССР	1458213	1944	10 - 12	2054	2025	29
КирССР	1458213	1945	1 - 3	441	342	99
КирССР	1458213	1945	4 - 6	477	295	182
КирССР	1458213	1945	7 - 9	22	11	11
КирССР	1458213	1945	10 - 12	10	4	6
