region	population	year	month_range	count	count_le_21	count_ge_22
Латвийская ССР	1905936	1939	1 - 3	5	5	0
Латвийская ССР	1905936	1939	4 - 6	12	2	10
Латвийская ССР	1905936	1939	7 - 9	3	3	0
Латвийская ССР	1905936	1939	10 - 12	8	4	4
Латвийская ССР	1905936	1940	1 - 3	17	1	16
Латвийская ССР	1905936	1940	4 - 6	4	0	4
Латвийская ССР	1905936	1940	7 - 9	13	7	6
Латвийская ССР	1905936	1940	10 - 12	10	9	1
Латвийская ССР	1905936	1941	1 - 3	8	2	6
Латвийская ССР	1905936	1941	4 - 6	236	63	173
Латвийская ССР	1905936	1941	7 - 9	298	71	227
Латвийская ССР	1905936	1941	10 - 12	78	32	46
Латвийская ССР	1905936	1942	1 - 3	62	12	50
Латвийская ССР	1905936	1942	4 - 6	21	11	10
Латвийская ССР	1905936	1942	7 - 9	39	23	16
Латвийская ССР	1905936	1942	10 - 12	19	8	11
Латвийская ССР	1905936	1943	1 - 3	34	20	14
Латвийская ССР	1905936	1943	4 - 6	20	10	10
Латвийская ССР	1905936	1943	7 - 9	16	10	6
Латвийская ССР	1905936	1943	10 - 12	17	12	5
Латвийская ССР	1905936	1944	1 - 3	84	25	59
Латвийская ССР	1905936	1944	4 - 6	107	35	72
Латвийская ССР	1905936	1944	7 - 9	5080	2097	2983
Латвийская ССР	1905936	1944	10 - 12	1778	409	1369
Латвийская ССР	1905936	1945	1 - 3	519	144	375
Латвийская ССР	1905936	1945	4 - 6	504	196	308
Латвийская ССР	1905936	1945	7 - 9	21	5	16
Латвийская ССР	1905936	1945	10 - 12	3	0	3
