region	population	year	month_range	count	count_le_21	count_ge_22
Литовская ССР	2550000	1939	1 - 3	4	2	2
Литовская ССР	2550000	1939	4 - 6	10	6	4
Литовская ССР	2550000	1939	7 - 9	13	9	4
Литовская ССР	2550000	1939	10 - 12	16	12	4
Литовская ССР	2550000	1940	1 - 3	37	7	30
Литовская ССР	2550000	1940	4 - 6	9	4	5
Литовская ССР	2550000	1940	7 - 9	14	10	4
Литовская ССР	2550000	1940	10 - 12	15	15	0
Литовская ССР	2550000	1941	1 - 3	16	11	5
Литовская ССР	2550000	1941	4 - 6	160	32	128
Литовская ССР	2550000	1941	7 - 9	308	62	246
Литовская ССР	2550000	1941	10 - 12	196	79	117
Литовская ССР	2550000	1942	1 - 3	203	45	158
Литовская ССР	2550000	1942	4 - 6	104	26	78
Литовская ССР	2550000	1942	7 - 9	109	70	39
Литовская ССР	2550000	1942	10 - 12	47	27	20
Литовская ССР	2550000	1943	1 - 3	115	69	46
Литовская ССР	2550000	1943	4 - 6	43	28	15
Литовская ССР	2550000	1943	7 - 9	50	28	22
Литовская ССР	2550000	1943	10 - 12	60	37	23
Литовская ССР	2550000	1944	1 - 3	184	57	127
Литовская ССР	2550000	1944	4 - 6	179	68	111
Литовская ССР	2550000	1944	7 - 9	8439	2648	5791
Литовская ССР	2550000	1944	10 - 12	5910	2101	3809
Литовская ССР	2550000	1945	1 - 3	18001	4860	13141
Литовская ССР	2550000	1945	4 - 6	5704	1288	4416
Литовская ССР	2550000	1945	7 - 9	478	115	363
Литовская ССР	2550000	1945	10 - 12	410	84	326
