region	population	year	month_range	count	count_le_21	count_ge_22
РСФСР	109397463	1939	1 - 3	4543	2594	1949
РСФСР	109397463	1939	4 - 6	6429	4515	1914
РСФСР	109397463	1939	7 - 9	23486	17995	5491
РСФСР	109397463	1939	10 - 12	22209	17427	4782
РСФСР	109397463	1940	1 - 3	8383	4386	3997
РСФСР	109397463	1940	4 - 6	14372	6461	7911
РСФСР	109397463	1940	7 - 9	22934	18903	4031
РСФСР	109397463	1940	10 - 12	26112	23378	2734
РСФСР	109397463	1941	1 - 3	26725	9150	17575
РСФСР	109397463	1941	4 - 6	253538	31486	222052
РСФСР	109397463	1941	7 - 9	497567	79406	418161
РСФСР	109397463	1941	10 - 12	274879	97671	177208
РСФСР	109397463	1942	1 - 3	348522	102467	246055
РСФСР	109397463	1942	4 - 6	246768	82133	164635
РСФСР	109397463	1942	7 - 9	294547	183329	111218
РСФСР	109397463	1942	10 - 12	195886	81327	114559
РСФСР	109397463	1943	1 - 3	302179	215364	86815
РСФСР	109397463	1943	4 - 6	169438	81046	88392
РСФСР	109397463	1943	7 - 9	115099	49564	65535
РСФСР	109397463	1943	10 - 12	220719	171907	48812
РСФСР	109397463	1944	1 - 3	146565	75075	71490
РСФСР	109397463	1944	4 - 6	103697	47899	55798
РСФСР	109397463	1944	7 - 9	78856	33340	45516
РСФСР	109397463	1944	10 - 12	155695	124427	31268
РСФСР	109397463	1945	1 - 3	74877	39533	35344
РСФСР	109397463	1945	4 - 6	66814	30685	36129
РСФСР	109397463	1945	7 - 9	19637	14095	5542
РСФСР	109397463	1945	10 - 12	11698	10342	1356
