region	population	year	month_range	count	count_le_21	count_ge_22
ТаджССР	1484440	1939	1 - 3	67	39	28
ТаджССР	1484440	1939	4 - 6	33	23	10
ТаджССР	1484440	1939	7 - 9	211	123	88
ТаджССР	1484440	1939	10 - 12	209	133	76
ТаджССР	1484440	1940	1 - 3	191	83	108
ТаджССР	1484440	1940	4 - 6	75	26	49
ТаджССР	1484440	1940	7 - 9	131	109	22
ТаджССР	1484440	1940	10 - 12	165	140	25
ТаджССР	1484440	1941	1 - 3	203	76	127
ТаджССР	1484440	1941	4 - 6	828	218	610
ТаджССР	1484440	1941	7 - 9	1970	272	1698
ТаджССР	1484440	1941	10 - 12	1940	877	1063
ТаджССР	1484440	1942	1 - 3	1839	462	1377
ТаджССР	1484440	1942	4 - 6	1202	403	799
ТаджССР	1484440	1942	7 - 9	3662	2391	1271
ТаджССР	1484440	1942	10 - 12	2504	1127	1377
ТаджССР	1484440	1943	1 - 3	9669	2813	6856
ТаджССР	1484440	1943	4 - 6	10717	1832	8885
ТаджССР	1484440	1943	7 - 9	1316	461	855
ТаджССР	1484440	1943	10 - 12	673	357	316
ТаджССР	1484440	1944	1 - 3	302	137	165
ТаджССР	1484440	1944	4 - 6	251	81	170
ТаджССР	1484440	1944	7 - 9	206	61	145
ТаджССР	1484440	1944	10 - 12	1503	1474	29
ТаджССР	1484440	1945	1 - 3	686	634	52
ТаджССР	1484440	1945	4 - 6	230	61	169
ТаджССР	1484440	1945	7 - 9	15	12	3
ТаджССР	1484440	1945	10 - 12	11	9	3
