region	population	year	month_range	count	count_le_21	count_ge_22
ТуркССР	1251883	1939	1 - 3	26	20	6
ТуркССР	1251883	1939	4 - 6	19	13	6
ТуркССР	1251883	1939	7 - 9	141	99	42
ТуркССР	1251883	1939	10 - 12	220	153	67
ТуркССР	1251883	1940	1 - 3	157	70	87
ТуркССР	1251883	1940	4 - 6	52	26	26
ТуркССР	1251883	1940	7 - 9	154	131	23
ТуркССР	1251883	1940	10 - 12	167	146	21
ТуркССР	1251883	1941	1 - 3	159	68	91
ТуркССР	1251883	1941	4 - 6	644	123	521
ТуркССР	1251883	1941	7 - 9	1721	191	1530
ТуркССР	1251883	1941	10 - 12	1269	458	811
ТуркССР	1251883	1942	1 - 3	4319	742	3577
ТуркССР	1251883	1942	4 - 6	1035	345	690
ТуркССР	1251883	1942	7 - 9	2123	1204	919
ТуркССР	1251883	1942	10 - 12	1577	756	821
ТуркССР	1251883	1943	1 - 3	9004	2128	6876
ТуркССР	1251883	1943	4 - 6	5084	792	4292
ТуркССР	1251883	1943	7 - 9	1141	642	499
ТуркССР	1251883	1943	10 - 12	711	394	317
ТуркССР	1251883	1944	1 - 3	167	71	96
ТуркССР	1251883	1944	4 - 6	239	65	174
ТуркССР	1251883	1944	7 - 9	118	36	82
ТуркССР	1251883	1944	10 - 12	971	946	25
ТуркССР	1251883	1945	1 - 3	661	633	28
ТуркССР	1251883	1945	4 - 6	209	79	130
ТуркССР	1251883	1945	7 - 9	13	6	7
ТуркССР	1251883	1945	10 - 12	6	6	0
