region	population	year	month_range	count	count_le_21	count_ge_22
УССР	30946218	1939	1 - 3	939	592	347
УССР	30946218	1939	4 - 6	1821	1333	488
УССР	30946218	1939	7 - 9	4807	3696	1111
УССР	30946218	1939	10 - 12	6567	5326	1241
УССР	30946218	1940	1 - 3	1928	1052	876
УССР	30946218	1940	4 - 6	2799	1608	1191
УССР	30946218	1940	7 - 9	5314	4492	822
УССР	30946218	1940	10 - 12	6079	5359	720
УССР	30946218	1941	1 - 3	3438	1470	1968
УССР	30946218	1941	4 - 6	37304	6468	30836
УССР	30946218	1941	7 - 9	65384	15295	50089
УССР	30946218	1941	10 - 12	18799	6286	12513
УССР	30946218	1942	1 - 3	9938	2611	7327
УССР	30946218	1942	4 - 6	6187	1949	4238
УССР	30946218	1942	7 - 9	6325	3179	3146
УССР	30946218	1942	10 - 12	3677	1395	2282
УССР	30946218	1943	1 - 3	16401	8379	8022
УССР	30946218	1943	4 - 6	7256	3903	3353
УССР	30946218	1943	7 - 9	59761	25782	33979
УССР	30946218	1943	10 - 12	68579	25452	43127
УССР	30946218	1944	1 - 3	136001	29328	106673
УССР	30946218	1944	4 - 6	134382	40460	93922
УССР	30946218	1944	7 - 9	29580	9203	20377
УССР	30946218	1944	10 - 12	33703	19248	14455
УССР	30946218	1945	1 - 3	11024	5130	5894
УССР	30946218	1945	4 - 6	13465	5586	7879
УССР	30946218	1945	7 - 9	1202	596	606
УССР	30946218	1945	10 - 12	637	468	169
