region	population	year	month_range	count	count_le_21	count_ge_22
УзССР	6271269	1939	1 - 3	207	133	74
УзССР	6271269	1939	4 - 6	182	115	67
УзССР	6271269	1939	7 - 9	962	655	307
УзССР	6271269	1939	10 - 12	993	667	326
УзССР	6271269	1940	1 - 3	600	243	357
УзССР	6271269	1940	4 - 6	397	138	259
УзССР	6271269	1940	7 - 9	597	445	152
УзССР	6271269	1940	10 - 12	588	493	95
УзССР	6271269	1941	1 - 3	955	380	575
УзССР	6271269	1941	4 - 6	3704	974	2730
УзССР	6271269	1941	7 - 9	8612	1385	7227
УзССР	6271269	1941	10 - 12	6672	2477	4195
УзССР	6271269	1942	1 - 3	11502	2458	9044
УзССР	6271269	1942	4 - 6	22065	9521	12544
УзССР	6271269	1942	7 - 9	19063	8380	10683
УзССР	6271269	1942	10 - 12	12274	4633	7641
УзССР	6271269	1943	1 - 3	34851	6792	28059
УзССР	6271269	1943	4 - 6	34395	4210	30185
УзССР	6271269	1943	7 - 9	4648	1714	2934
УзССР	6271269	1943	10 - 12	3607	1924	1683
УзССР	6271269	1944	1 - 3	3286	1240	2046
УзССР	6271269	1944	4 - 6	1428	402	1026
УзССР	6271269	1944	7 - 9	1010	278	732
УзССР	6271269	1944	10 - 12	1610	1397	213
УзССР	6271269	1945	1 - 3	1580	1321	259
УзССР	6271269	1945	4 - 6	1498	728	770
УзССР	6271269	1945	7 - 9	200	137	63
УзССР	6271269	1945	10 - 12	37	29	8
