region	population	year	month_range	count	count_le_21	count_ge_22
Эстонская ССР	1126413	1939	1 - 3	9	8	1
Эстонская ССР	1126413	1939	4 - 6	6	5	1
Эстонская ССР	1126413	1939	7 - 9	7	7	0
Эстонская ССР	1126413	1939	10 - 12	14	12	2
Эстонская ССР	1126413	1940	1 - 3	5	4	1
Эстонская ССР	1126413	1940	4 - 6	16	14	2
Эстонская ССР	1126413	1940	7 - 9	15	6	9
Эстонская ССР	1126413	1940	10 - 12	9	3	6
Эстонская ССР	1126413	1941	1 - 3	24	12	12
Эстонская ССР	1126413	1941	4 - 6	229	63	166
Эстонская ССР	1126413	1941	7 - 9	1015	304	711
Эстонская ССР	1126413	1941	10 - 12	52	25	27
Эстонская ССР	1126413	1942	1 - 3	55	9	46
Эстонская ССР	1126413	1942	4 - 6	20	6	14
Эстонская ССР	1126413	1942	7 - 9	38	14	24
Эстонская ССР	1126413	1942	10 - 12	41	7	34
Эстонская ССР	1126413	1943	1 - 3	24	8	16
Эстонская ССР	1126413	1943	4 - 6	14	5	9
Эстонская ССР	1126413	1943	7 - 9	14	3	12
Эстонская ССР	1126413	1943	10 - 12	9	7	2
Эстонская ССР	1126413	1944	1 - 3	74	30	44
Эстонская ССР	1126413	1944	4 - 6	29	10	19
Эстонская ССР	1126413	1944	7 - 9	1633	835	798
Эстонская ССР	1126413	1944	10 - 12	3389	1443	1946
Эстонская ССР	1126413	1945	1 - 3	182	57	125
Эстонская ССР	1126413	1945	4 - 6	200	50	150
Эстонская ССР	1126413	1945	7 - 9	23	12	11
Эстонская ССР	1126413	1945	10 - 12	2	1	1
