region	population	count_exact	count_probable	count_exact_per_1000	count_probable_per_1000
АзССР	3205150	86367	101189	26.9463	31.5708
АрССР	1282338	31328	36509	24.4304	28.4707
БССР	5568994	156306	186698	28.0672	33.5245
ГрузССР	3540023	58623	70310	16.5601	19.8615
КазССР	6151102	269497	306563	43.8128	49.8387
КирССР	1458213	59288	68253	40.658	46.8059
Латвийская ССР	1905936	12726	14702	6.677	7.7138
Литовская ССР	2550000	43351	47538	17.0004	18.6424
РСФСР	109397463	4687896	5475481	42.852	50.0513
ТаджССР	1484440	47356	54686	31.9016	36.8395
ТуркССР	1251883	37414	44282	29.8862	35.3723
УзССР	6271269	209510	244515	33.4079	38.9897
УССР	30946218	834856	976129	26.9776	31.5428
Эстонская ССР	1126413	9932	10656	8.8174	9.4601
