region	population	year	month	count	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
АзССР	3205150	1939	1	103	0.0	0.0	0.0	0.0	0.0194	0.1359	0.4078	0.5534	0.6117	0.7282	0.8738	0.9126	0.9515	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	2	52	0.0	0.0	0.0	0.0208	0.0417	0.0833	0.3125	0.5208	0.6042	0.7083	0.75	0.8333	0.875	0.9583	0.9792	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	3	27	0.0	0.0	0.0	0.0	0.0	0.0741	0.2222	0.5556	0.6667	0.7778	0.963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	4	21	0.0	0.0	0.0	0.0476	0.0476	0.1905	0.381	0.5238	0.6667	0.7619	0.8095	0.8571	0.9048	0.9048	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	5	88	0.0	0.0	0.0	0.0	0.0341	0.2159	0.4318	0.5795	0.6932	0.7727	0.8523	0.875	0.9091	0.9545	0.9886	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	6	25	0.0	0.0	0.0	0.0	0.0417	0.1667	0.3333	0.7083	0.7083	0.7917	0.875	0.9583	0.9583	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	7	19	0.0	0.0	0.0	0.0	0.0	0.0	0.3158	0.5789	0.5789	0.7368	0.8421	0.8421	0.8421	0.9474	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	8	68	0.0	0.0	0.0	0.0	0.0147	0.1765	0.3529	0.5294	0.6324	0.7206	0.8382	0.9118	0.9265	0.9412	0.9853	0.9853	0.9853	0.9853	0.9853	0.9853	0.9853	0.9853	0.9853	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	9	541	0.0	0.0	0.0	0.0093	0.0335	0.1152	0.3643	0.5446	0.6877	0.803	0.8866	0.9182	0.9424	0.9591	0.9684	0.9833	0.987	0.9926	0.9963	0.9963	0.9981	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АзССР	3205150	1939	10	289	0.0	0.0	0.0	0.0	0.0175	0.1053	0.4035	0.6316	0.7404	0.8386	0.9053	0.9263	0.9439	0.9579	0.9684	0.9895	0.9895	0.9965	0.9965	0.9965	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
