region	population	year	month	num_cards_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
АрССР	1282338	1939	1	44	0.0	0.0	0.0	0.0455	0.0682	0.2727	0.4545	0.7727	0.8636	0.9545	0.9773	0.9773	0.9773	0.9773	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	2	14	0.0	0.0	0.0	0.0	0.0	0.0769	0.1538	0.3846	0.3846	0.7692	0.7692	0.8462	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	0.9231	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	3	12	0.0	0.0	0.0	0.0	0.0833	0.4167	0.9167	0.9167	0.9167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	4	7	0.0	0.0	0.0	0.0	0.1429	0.4286	0.5714	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	5	45	0.0	0.0	0.0	0.0444	0.0889	0.2444	0.4889	0.7111	0.7556	0.8222	0.8667	0.8667	0.8667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	6	4	0.0	0.0	0.0	0.0	0.0	0.5	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	7	5	0.0	0.0	0.0	0.0	0.0	0.6	0.6	0.6	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	8	23	0.0	0.0	0.0	0.0	0.0435	0.2609	0.6522	0.8696	0.8696	0.8696	0.8696	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	9	160	0.0	0.0	0.0	0.0189	0.0692	0.2138	0.4528	0.7547	0.8239	0.8805	0.9245	0.9434	0.9748	0.9811	0.9874	0.9937	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	10	107	0.0	0.0	0.0095	0.0095	0.0381	0.1333	0.419	0.6476	0.7429	0.8571	0.9143	0.9429	0.981	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	11	64	0.0156	0.0156	0.0156	0.0313	0.125	0.2188	0.5156	0.7188	0.8594	0.875	0.9063	0.9219	0.9531	0.9844	0.9844	0.9844	0.9844	0.9844	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1939	12	52	0.0	0.0	0.0	0.0577	0.1346	0.25	0.4615	0.6346	0.8077	0.9423	0.9615	0.9615	0.9808	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	1	62	0.0	0.0	0.0	0.0161	0.0484	0.1613	0.3226	0.629	0.8548	0.871	0.9516	0.9516	0.9516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	2	43	0.0	0.0	0.0	0.0233	0.0698	0.186	0.3023	0.4419	0.6977	0.7442	0.7907	0.8372	0.8837	0.8837	0.8837	0.8837	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	3	11	0.0	0.0	0.0	0.1	0.2	0.5	0.8	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	4	11	0.0	0.0	0.0	0.0	0.3636	0.6364	0.9091	0.9091	0.9091	0.9091	0.9091	0.9091	0.9091	0.9091	0.9091	0.9091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	5	23	0.0	0.0	0.0	0.087	0.1739	0.3478	0.6087	0.6957	0.6957	0.6957	0.7391	0.8261	0.8696	0.913	0.9565	0.9565	0.9565	0.9565	0.9565	0.9565	0.9565	0.9565	0.9565	0.9565	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	6	14	0.0	0.0714	0.0714	0.1429	0.2143	0.2143	0.3571	0.3571	0.4286	0.5	0.5714	0.5714	0.8571	0.9286	0.9286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	7	10	0.0	0.0	0.0	0.1	0.2	0.3	0.6	0.6	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	8	29	0.0	0.0	0.0	0.0	0.0357	0.25	0.4643	0.5714	0.6429	0.6429	0.6786	0.7143	0.8571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	9	114	0.0	0.0	0.0	0.009	0.1171	0.2703	0.8649	0.9009	0.9279	0.955	0.973	0.973	0.982	0.982	0.991	0.991	0.991	0.991	0.991	0.991	0.991	0.991	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	10	135	0.0	0.0	0.0	0.0222	0.1037	0.2444	0.8444	0.8741	0.9111	0.9111	0.9407	0.9481	0.9704	0.9852	0.9926	0.9926	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	11	20	0.0	0.0	0.0	0.0	0.1	0.25	0.8	0.85	0.95	0.95	0.95	0.95	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1940	12	30	0.0	0.0	0.0	0.0	0.1333	0.4667	0.8	0.9	0.9333	0.9333	0.9667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
АрССР	1282338	1941	1	111	0.0	0.0	0.0	0.0095	0.0762	0.2381	0.4	0.4762	0.5048	0.5429	0.5524	0.5524	0.5714	0.6571	0.7143	0.7524	0.8	0.8381	0.8667	0.8857	0.9048	0.9143	0.9238	0.9333	0.9333	0.9714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
