region	population	year	month	count	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
БССР	5568994	1939	1	37	0.0	0.0	0.0	0.027	0.0811	0.2432	0.5946	0.7838	0.8919	0.9189	0.9189	0.9189	0.9189	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	0.973	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	2	46	0.0	0.0	0.0	0.0	0.025	0.1	0.35	0.625	0.725	0.8	0.825	0.875	0.925	0.95	0.975	0.975	0.975	0.975	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	3	60	0.0	0.0	0.0	0.0	0.0	0.0167	0.2833	0.5333	0.7333	0.7833	0.7833	0.8	0.8667	0.9	0.9333	0.9333	0.9667	0.9667	0.9833	0.9833	0.9833	0.9833	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	4	23	0.0	0.0	0.0	0.0	0.1304	0.2609	0.6087	0.7826	0.913	0.9565	0.9565	0.9565	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	5	192	0.0	0.0	0.0	0.0262	0.089	0.2775	0.644	0.7853	0.8482	0.9162	0.9529	0.9686	0.9738	0.9843	0.9895	0.9895	0.9895	0.9948	0.9948	0.9948	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	6	51	0.0	0.0	0.0208	0.0833	0.1667	0.2917	0.4375	0.6667	0.7083	0.7292	0.7708	0.8333	0.8333	0.8333	0.8333	0.875	0.875	0.9375	0.9375	0.9583	0.9792	0.9792	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	7	47	0.0	0.0	0.0	0.0435	0.1304	0.2174	0.5652	0.6522	0.7826	0.8043	0.8261	0.8913	0.8913	0.913	0.913	0.9348	0.9348	0.9565	0.9565	0.9565	0.9565	0.9565	0.9783	0.9783	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	8	93	0.0	0.0	0.0	0.0326	0.0761	0.163	0.4348	0.5978	0.6522	0.6739	0.7065	0.7174	0.7174	0.7717	0.8152	0.8804	0.8913	0.9348	0.9565	0.9565	0.9565	0.9565	0.9674	0.9674	0.9891	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	9	817	0.0	0.0	0.0	0.0173	0.0644	0.1574	0.5725	0.7844	0.8302	0.8761	0.9046	0.9294	0.9405	0.9492	0.9616	0.9752	0.9802	0.9851	0.9888	0.9901	0.9913	0.9938	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
БССР	5568994	1939	10	700	0.0	0.0	0.0	0.0	0.0302	0.1322	0.546	0.7945	0.8635	0.9152	0.9425	0.9511	0.9713	0.9784	0.9871	0.9943	0.9957	0.9971	0.9971	0.9971	0.9971	0.9971	0.9986	0.9986	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
