region	population	year	month	num_cards_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
КазССР	6151102	1939	1	61	0.0	0.0	0.0	0.0	0.0164	0.2459	0.4918	0.7049	0.7705	0.8525	0.918	0.9508	0.9508	0.9672	0.9672	0.9672	0.9672	0.9672	0.9836	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	2	104	0.0	0.0	0.0108	0.0215	0.0215	0.1183	0.3656	0.6774	0.7419	0.8602	0.9032	0.9247	0.957	0.9677	0.9785	0.9892	0.9892	0.9892	0.9892	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	3	199	0.0	0.0	0.0	0.0	0.0	0.0352	0.1106	0.402	0.7487	0.8794	0.9548	0.9598	0.9598	0.9598	0.9698	0.9799	0.9849	0.9899	0.995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	4	46	0.0	0.0	0.0	0.0	0.0217	0.0652	0.2391	0.5217	0.6957	0.8696	0.8913	0.9565	0.9565	0.9783	0.9783	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	5	161	0.0	0.0	0.0	0.0188	0.1125	0.175	0.5688	0.7063	0.8438	0.8875	0.9313	0.9813	0.9938	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	6	42	0.0	0.0	0.0	0.0	0.0	0.1	0.35	0.65	0.825	0.825	0.825	0.9	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	7	22	0.0	0.0	0.0	0.0	0.0476	0.1905	0.4286	0.619	0.7143	0.7619	0.8095	0.8571	0.9524	0.9524	0.9524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	8	120	0.0	0.0	0.0	0.0084	0.0504	0.1008	0.3782	0.5798	0.7647	0.8571	0.8824	0.916	0.958	0.9748	0.9832	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	9	1051	0.0	0.0	0.001	0.0077	0.0269	0.0741	0.4139	0.6718	0.7729	0.8884	0.9403	0.9586	0.9721	0.9779	0.9836	0.9875	0.9875	0.9913	0.9952	0.9962	0.9971	0.9981	0.999	0.999	0.999	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	10	732	0.0	0.0	0.0014	0.0027	0.0247	0.0879	0.4808	0.706	0.8324	0.908	0.9602	0.9698	0.9821	0.989	0.9931	0.9959	0.9973	0.9973	0.9973	0.9973	0.9973	0.9973	0.9973	0.9973	0.9986	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	11	446	0.0	0.0	0.0	0.0068	0.0271	0.0837	0.4729	0.7353	0.8688	0.9208	0.9457	0.9661	0.9751	0.9864	0.991	0.9932	0.9955	0.9977	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1939	12	189	0.0	0.0	0.0	0.016	0.0372	0.0691	0.4628	0.6649	0.7606	0.8617	0.9202	0.9628	0.9734	0.984	0.9894	0.9894	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1940	1	219	0.0046	0.0046	0.0046	0.0185	0.0787	0.1713	0.2593	0.5139	0.6574	0.7037	0.8241	0.8981	0.9352	0.9398	0.9491	0.9537	0.963	0.9676	0.9722	0.9815	0.9861	0.9861	0.9907	0.9954	0.9954	0.9954	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КазССР	6151102	1940	2	305	0.0	0.0	0.0	0.0099	0.0364	0.1093	0.1755	0.3477	0.5132	0.6424	0.755	0.8907	0.9205	0.9437	0.957	0.9702	0.9768	0.9801	0.9834	0.9868	0.9934	0.9934	0.9934	0.9934	0.9934	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
