region	population	year	month	count	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
КирССР	1458213	1939	1	23	0.0	0.0	0.0	0.0	0.0	0.0	0.2609	0.4348	0.5652	0.6522	0.7391	0.7391	0.913	0.9565	0.9565	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	2	16	0.0	0.0	0.0	0.0	0.0714	0.0714	0.2857	0.5	0.5	0.7143	0.9286	0.9286	0.9286	0.9286	0.9286	0.9286	0.9286	0.9286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	3	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.75	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	4	18	0.0	0.0	0.0	0.0	0.0	0.1667	0.4444	0.7222	0.7778	0.8333	0.8333	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	5	28	0.0	0.0	0.0	0.0	0.0357	0.1429	0.3571	0.5	0.5357	0.75	0.8214	0.9286	0.9286	0.9286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	6	17	0.0	0.0	0.0	0.0	0.0	0.0	0.5625	0.6875	0.75	0.75	0.8125	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	7	5	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	8	42	0.0	0.0	0.0	0.0238	0.0238	0.0476	0.3333	0.5952	0.7857	0.881	0.9524	0.9524	0.9524	0.9762	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	9	221	0.0	0.0	0.0	0.0	0.0318	0.1182	0.4955	0.6909	0.7591	0.8636	0.9136	0.95	0.9636	0.9773	0.9773	0.9864	0.9909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
КирССР	1458213	1939	10	161	0.0	0.0	0.0	0.0	0.05	0.1375	0.5313	0.7375	0.8125	0.8625	0.9188	0.9438	0.9563	0.9813	0.9813	0.9875	0.9938	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
