region	population	year	month	count_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
Литовская ССР	2550000	1939	1	0																																				
Литовская ССР	2550000	1939	2	1																																				
Литовская ССР	2550000	1939	3	3	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	4	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	5	8	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	6	1	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	7	0																																				
Литовская ССР	2550000	1939	8	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	9	12	0.0	0.0	0.0	0.0	0.0	0.0833	0.4167	0.6667	0.75	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.8333	0.9167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	10	9	0.0	0.0	0.0	0.0	0.0	0.0	0.4444	0.6667	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	0.8889	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	11	4	0.0	0.0	0.0	0.0	0.25	0.25	0.5	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1939	12	3	0.0	0.0	0.0	0.0	0.3333	0.3333	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	1	8	0.0	0.0	0.0	0.0	0.1429	0.4286	0.4286	0.4286	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.75	0.75	0.75	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	3	25	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.12	0.8	0.92	0.96	0.96	0.96	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	4	2	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	5	4	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	6	3	0.0	0.0	0.0	0.0	0.3333	0.3333	0.3333	0.3333	0.6667	0.6667	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	7	0																																				
Литовская ССР	2550000	1940	8	3	0.0	0.0	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333	0.6667	0.6667	0.6667	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	9	11	0.0	0.0	0.0	0.0	0.0	0.3333	0.7778	0.7778	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	10	11	0.0	0.0	0.0	0.0	0.0	0.3636	0.8182	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	11	3	0.0	0.0	0.0	0.3333	0.3333	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1940	12	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	1	6	0.0	0.0	0.0	0.0	0.0	0.6	0.6	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	2	5	0.0	0.2	0.2	0.2	0.4	0.4	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.8	0.8	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	3	5	0.0	0.0	0.0	0.2	0.2	0.4	0.6	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	4	10	0.0	0.0	0.0	0.1	0.1	0.1	0.3	0.4	0.4	0.5	0.5	0.5	0.6	0.7	0.7	0.8	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	5	12	0.0	0.0	0.0	0.0	0.0	0.1667	0.25	0.3333	0.3333	0.4167	0.4167	0.5	0.5833	0.6667	0.75	0.8333	0.9167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	6	138	0.0	0.0	0.0076	0.0227	0.0758	0.1212	0.1515	0.1742	0.1818	0.2045	0.2348	0.303	0.3485	0.4242	0.4924	0.5606	0.6212	0.697	0.75	0.7955	0.8561	0.9242	0.9621	0.9697	0.9773	0.9848	0.9924	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	7	118	0.0	0.0	0.0	0.0294	0.0882	0.1765	0.1961	0.2059	0.2353	0.2549	0.2745	0.3039	0.3333	0.3725	0.4118	0.4608	0.5098	0.5784	0.6373	0.6961	0.7451	0.8039	0.8431	0.8824	0.902	0.9412	0.9706	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	8	114	0.0	0.0	0.0096	0.0192	0.0673	0.125	0.1538	0.1731	0.1827	0.2212	0.2308	0.25	0.2692	0.2981	0.3462	0.3846	0.4231	0.4615	0.5	0.5481	0.6058	0.6538	0.7019	0.7885	0.8462	0.9038	0.9519	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	9	76	0.0	0.0	0.0	0.0286	0.1143	0.2	0.2286	0.2429	0.2571	0.2714	0.2857	0.3	0.3429	0.3857	0.4143	0.4429	0.4714	0.5	0.5286	0.5714	0.6286	0.6714	0.7143	0.7857	0.8429	0.9	0.9429	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	10	90	0.0	0.0	0.0	0.0122	0.122	0.2561	0.2927	0.3171	0.3293	0.3537	0.3659	0.3902	0.4268	0.4634	0.5	0.5366	0.5732	0.622	0.6585	0.7073	0.7439	0.7927	0.8293	0.8659	0.9024	0.939	0.9756	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Литовская ССР	2550000	1941	11	53	0.0	0.0	0.0	0.0	0.449	0.5102	0.551	0.5714	0.5714	0.6122	0.6327	0.6531	0.6735	0.6939	0.7143	0.7551	0.7755	0.7959	0.8163	0.8367	0.8571	0.8776	0.898	0.9184	0.9388	0.9592	0.9796	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
