region	population	year	month	num_cards_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
РСФСР	109397463	1939	1	949	0.0032	0.0032	0.0053	0.0213	0.0893	0.1668	0.4687	0.6716	0.7598	0.8183	0.864	0.8916	0.9256	0.9543	0.9649	0.9724	0.983	0.9862	0.9872	0.9894	0.9904	0.9936	0.9957	0.9989	0.9989	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	2	1583	0.0	0.0	0.0015	0.015	0.0489	0.1046	0.3273	0.5786	0.7246	0.8119	0.8871	0.9157	0.9368	0.9518	0.9631	0.9774	0.9804	0.9812	0.9857	0.991	0.994	0.997	0.9992	0.9992	0.9992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	3	2011	0.0	0.0	0.0015	0.0085	0.0235	0.0726	0.2118	0.5173	0.8067	0.8848	0.9319	0.9524	0.9654	0.973	0.978	0.9835	0.985	0.987	0.993	0.993	0.9955	0.9965	0.9975	0.999	0.9995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	4	1419	0.0	0.0	0.0007	0.0064	0.0532	0.1412	0.3804	0.665	0.8226	0.8765	0.9163	0.9397	0.9574	0.9723	0.9808	0.9844	0.9894	0.9915	0.9965	0.9972	0.9986	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	5	3795	0.0005	0.0013	0.0032	0.0133	0.0595	0.1587	0.5159	0.752	0.8429	0.8828	0.9208	0.9474	0.9662	0.974	0.9777	0.9833	0.9867	0.9904	0.9934	0.9949	0.9963	0.9976	0.9992	0.9995	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	6	1215	0.0	0.0035	0.0062	0.0273	0.0836	0.1717	0.3926	0.5907	0.654	0.7042	0.7658	0.8363	0.8988	0.9181	0.9349	0.9472	0.9542	0.9639	0.9692	0.9736	0.978	0.9815	0.9894	0.9947	0.9991	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	7	724	0.0015	0.0029	0.0059	0.0278	0.0849	0.1889	0.4539	0.6647	0.716	0.7613	0.8126	0.8536	0.8873	0.9063	0.9239	0.937	0.9458	0.9531	0.9575	0.9649	0.9736	0.981	0.9883	0.9912	0.9971	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	8	2497	0.0004	0.0008	0.0037	0.0179	0.0773	0.1563	0.4815	0.7306	0.8132	0.8482	0.882	0.8982	0.9174	0.932	0.941	0.9487	0.9613	0.9711	0.978	0.9821	0.9866	0.9919	0.9947	0.9972	0.998	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	9	20265	0.0001	0.0003	0.0011	0.0061	0.0383	0.0943	0.5135	0.7742	0.8442	0.891	0.9199	0.9375	0.9494	0.959	0.9651	0.9718	0.9756	0.9791	0.9835	0.9864	0.9884	0.9932	0.997	0.9979	0.9991	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	10	12748	0.0002	0.0004	0.0011	0.0064	0.0553	0.1272	0.5479	0.7993	0.8677	0.9146	0.9458	0.9617	0.9719	0.9793	0.9832	0.988	0.9907	0.9931	0.9957	0.997	0.9978	0.9981	0.9986	0.9991	0.9996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	11	6575	0.0	0.0002	0.0014	0.0058	0.0575	0.1124	0.5042	0.7827	0.8584	0.9096	0.9408	0.9588	0.9685	0.9795	0.9857	0.9892	0.9908	0.9928	0.9946	0.9955	0.9963	0.9975	0.9986	0.9989	0.9992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1939	12	2886	0.0014	0.0017	0.0035	0.023	0.0832	0.1623	0.4866	0.7245	0.8105	0.8683	0.9087	0.9317	0.9491	0.9613	0.9714	0.9788	0.9808	0.9836	0.9857	0.9878	0.9906	0.9937	0.9972	0.9979	0.9983	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1940	1	2833	0.0007	0.0025	0.0061	0.0318	0.1073	0.2551	0.3954	0.5508	0.6773	0.725	0.7701	0.8113	0.8551	0.8876	0.9122	0.9292	0.9429	0.9534	0.9613	0.9704	0.9765	0.9827	0.9863	0.9906	0.9964	0.9989	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1940	2	3761	0.0006	0.0011	0.0036	0.0135	0.0466	0.1446	0.2419	0.4774	0.6658	0.7402	0.8003	0.8534	0.8917	0.9212	0.9421	0.9573	0.9661	0.9744	0.9791	0.9851	0.9879	0.9898	0.9912	0.9931	0.9961	0.9983	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1940	3	1789	0.0011	0.0017	0.0051	0.0439	0.1231	0.3204	0.4835	0.5758	0.6682	0.7218	0.7605	0.8067	0.8518	0.8917	0.9128	0.9293	0.9441	0.9532	0.9647	0.9732	0.9778	0.9823	0.9857	0.9909	0.9937	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1940	4	1592	0.0032	0.0051	0.009	0.0352	0.1113	0.4037	0.6481	0.7031	0.7633	0.7876	0.8157	0.8516	0.8938	0.9245	0.9347	0.9475	0.9591	0.9648	0.9718	0.977	0.9802	0.9846	0.9885	0.9942	0.9962	0.9974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1940	5	4960	0.0002	0.0014	0.0035	0.0209	0.1027	0.3274	0.5764	0.6262	0.6772	0.7126	0.7612	0.82	0.8912	0.9449	0.9589	0.9679	0.9762	0.9793	0.9823	0.986	0.9876	0.9902	0.9935	0.9957	0.9969	0.9982	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
РСФСР	109397463	1940	6	7820	0.0	0.0005	0.0021	0.0112	0.0484	0.1027	0.2209	0.2859	0.3581	0.4161	0.5043	0.6364	0.8087	0.9485	0.9588	0.9659	0.9722	0.9761	0.9803	0.9858	0.9894	0.9924	0.9946	0.9963	0.9979	0.9992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
