region	population	year	month	count	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
ТаджССР	1484440	1939	1	19	0.0	0.0	0.0	0.0	0.1053	0.2632	0.3158	0.6842	0.6842	0.7368	0.7895	0.8421	0.8947	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	2	29	0.0	0.0	0.0	0.0	0.0	0.1481	0.2963	0.5185	0.6296	0.8519	0.8889	0.9259	0.963	0.963	0.963	0.963	0.963	0.963	0.963	0.963	0.963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	3	19	0.0	0.0	0.0526	0.0526	0.1053	0.2105	0.4737	0.5789	0.6842	0.7895	0.7895	0.8947	0.9474	0.9474	0.9474	0.9474	0.9474	0.9474	0.9474	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	4	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	5	21	0.0	0.0	0.0	0.05	0.15	0.25	0.8	0.85	0.95	0.95	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	6	10	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.3	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	7	10	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.7	0.8	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	8	18	0.0	0.0	0.0	0.0	0.0556	0.1111	0.2778	0.5	0.6111	0.9444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	9	183	0.0	0.0	0.0	0.0	0.0387	0.1271	0.4199	0.5856	0.6906	0.8122	0.9006	0.9392	0.9503	0.9503	0.9558	0.9669	0.9779	0.9834	0.9834	0.989	0.9945	0.9945	0.9945	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТаджССР	1484440	1939	10	101	0.0	0.0	0.0	0.0	0.01	0.1	0.43	0.58	0.71	0.84	0.98	0.98	0.98	0.98	0.98	0.98	0.99	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
