region	population	year	month	count	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
ТуркССР	1251883	1939	1	8	0.0	0.0	0.125	0.125	0.125	0.375	0.75	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	2	13	0.0	0.0833	0.0833	0.1667	0.1667	0.4167	0.5	0.9167	0.9167	0.9167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	3	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.6	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	4	5	0.0	0.0	0.2	0.2	0.2	0.4	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	5	11	0.0	0.0	0.0	0.0	0.0	0.0	0.3636	0.5455	0.8182	0.8182	0.8182	0.8182	0.8182	0.8182	0.8182	0.9091	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	6	3	0.0	0.0	0.0	0.0	0.0	0.0	0.3333	0.6667	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	7	3	0.0	0.0	0.0	0.0	0.6667	0.6667	0.6667	0.6667	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	8	10	0.0	0.0	0.0	0.0	0.0	0.1	0.6	0.8	0.9	0.9	0.9	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	9	128	0.0	0.0	0.0079	0.0236	0.0551	0.1181	0.4961	0.6929	0.7795	0.8268	0.8898	0.9449	0.9764	0.9921	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ТуркССР	1251883	1939	10	134	0.0	0.0	0.0	0.0075	0.0299	0.1119	0.5	0.7164	0.8433	0.9104	0.9328	0.9552	0.9776	0.9851	0.9925	0.9925	0.9925	0.9925	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
