region	population	year	month	num_cards_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
УССР	30946218	1939	1	220	0.0	0.0046	0.0046	0.0092	0.055	0.156	0.5459	0.7661	0.844	0.8899	0.9312	0.9541	0.9817	0.9908	0.9908	0.9954	0.9954	0.9954	0.9954	0.9954	0.9954	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	2	237	0.0	0.0	0.0	0.0048	0.0335	0.0957	0.4641	0.7033	0.8086	0.8517	0.8995	0.9282	0.9426	0.9474	0.9474	0.9522	0.9617	0.9761	0.9856	0.9952	0.9952	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	3	482	0.0021	0.0021	0.0021	0.0104	0.0459	0.1127	0.2547	0.5324	0.7933	0.881	0.9353	0.9499	0.9603	0.9749	0.9812	0.9875	0.9875	0.9916	0.9979	0.9979	0.9979	0.9979	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	4	267	0.0	0.0	0.0	0.0038	0.0417	0.1023	0.4545	0.6629	0.7992	0.8636	0.9053	0.9394	0.9508	0.9583	0.9583	0.9583	0.9659	0.9773	0.9811	0.9848	0.9848	0.9886	0.9886	0.9924	0.9962	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	5	1298	0.0	0.0031	0.0031	0.0209	0.0704	0.1609	0.536	0.7734	0.8476	0.8763	0.9188	0.9459	0.9667	0.976	0.9853	0.9869	0.9923	0.9938	0.9969	0.9969	0.9977	0.9985	0.9992	0.9992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	6	256	0.0	0.0	0.0	0.0202	0.081	0.1215	0.413	0.5951	0.668	0.7409	0.7814	0.8502	0.8988	0.9231	0.9352	0.9352	0.9433	0.9514	0.9757	0.9879	0.996	0.996	0.996	0.996	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	7	176	0.0	0.0	0.0058	0.0351	0.0994	0.2222	0.5205	0.7135	0.7836	0.8363	0.8655	0.8947	0.9181	0.9357	0.9532	0.9532	0.9766	0.9766	0.9766	0.9766	0.9942	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	8	605	0.0	0.0017	0.005	0.0367	0.1052	0.212	0.5442	0.7663	0.8197	0.8564	0.8848	0.9199	0.9349	0.9549	0.9666	0.9716	0.9816	0.9917	0.9917	0.995	0.9983	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	9	4026	0.0003	0.0003	0.002	0.0085	0.056	0.1268	0.5418	0.7716	0.8397	0.8779	0.9035	0.9235	0.9405	0.9525	0.961	0.9687	0.976	0.9792	0.9847	0.9887	0.9922	0.9945	0.9975	0.9987	0.9992	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	10	3260	0.0003	0.0003	0.0006	0.0046	0.0559	0.1264	0.5854	0.8255	0.8882	0.9209	0.945	0.9629	0.9744	0.9812	0.9849	0.9904	0.9926	0.9941	0.9978	0.9988	0.9988	0.9991	0.9994	0.9994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
УССР	30946218	1939	11	1753	0.0	0.0	0.0017	0.0121	0.0511	0.1114	0.556	0.8093	0.8765	0.9144	0.9403	0.9563	0.9719	0.9793	0.9856	0.9908	0.9937	0.9966	0.9983	0.9989	0.9994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
